                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.322,                  1.265,                 1.0534,                 1.9361,                 1.9025,                 1.0344,                0.42708,                0.23872,                  0.254,                0.13272,                 1.5218,                  2.209,                   1.19,                 2.2749,                 4.6543,                 1.2467,                 0.0703,                 0.0003,                 0.0003
                      2,                 1.3103,                0.84762,                 1.0644,                  1.861,                 1.1802,                 1.0503,                 0.5247,                0.37559,                0.35712,                0.17817,                 1.5501,                 2.2227,                 1.2463,                 2.0343,                  3.905,                 1.1963,               0.039607,             0.00060698,             0.00060698
                      3,                 1.2406,                0.82397,                  1.051,                 1.7592,                 1.1555,                 1.0487,                0.47719,                0.39096,                 0.3517,                0.17286,                 1.5138,                 13.121,                 1.1996,                 2.0475,                 2.1496,                 1.1699,              0.0089109,             0.00091089,             0.00091089
                      4,                 1.2616,                0.83277,                  1.056,                 1.7836,                 1.0972,                 1.0566,                0.53613,                0.38344,                0.37814,                0.18391,                 1.5433,                 3.1715,                 1.2028,                 2.0347,                 5.3704,                 1.1657,             0.00098515,             0.00098515,             0.00098515
                      5,                  1.241,                0.80107,                 1.0355,                 1.8223,                  1.112,                 1.0404,                0.64496,                 0.4482,                0.49062,                0.25431,                 1.3665,                 1.5429,                 1.1056,                  1.908,                 1.7675,                 1.0855,             0.00098515,             0.00098515,             0.00098515
                      6,                 1.2378,                0.77739,                 1.0348,                 1.8115,                 1.0959,                 1.0421,                0.61688,                0.46255,                0.48446,                0.24635,                 1.3512,                0.97403,                 1.0861,                 1.9218,                 1.4055,                 1.1039,              0.0009802,              0.0009802,              0.0009802
                      7,                 1.1879,                0.75428,                 1.0257,                 1.7525,                 1.0427,                 1.0418,                0.64959,                0.47421,                0.51161,                 0.2737,                 1.3054,                0.94349,                 1.0802,                 1.8504,                 1.2536,                 1.0825,             0.00097525,             0.00097525,             0.00097525
                      8,                 1.1724,                 0.7255,                 1.0211,                  1.746,                 1.0088,                 1.0301,                0.69414,                 0.4923,                0.53566,                0.28226,                 1.2834,                0.85453,                 1.0568,                 1.8027,                   1.13,                 1.0548,              0.0009703,              0.0009703,              0.0009703
                      9,                 1.1656,                0.69905,                 1.0175,                  1.737,                0.96476,                 1.0237,                0.70782,                0.48926,                  0.547,                0.27942,                 1.3179,                0.82278,                 1.0665,                 1.8687,                  1.143,                 1.0721,             0.00096535,             0.00096535,             0.00096535
                     10,                  1.164,                0.68956,                 1.0074,                 1.7121,                0.93914,                 1.0127,                0.65355,                0.48737,                0.50094,                0.26479,                 1.3009,                0.77982,                 1.0624,                 1.8381,                 1.1624,                 1.0622,              0.0009604,              0.0009604,              0.0009604
