                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.316,                 2.2047,                 1.0693,                  1.933,                 2.7506,                 1.0378,                0.40294,                0.41601,                0.41201,                0.23512,                  1.212,                 1.5498,                 1.0342,                 1.7306,                 2.7415,                 1.0309,                  0.073,                  0.003,                  0.003
                      2,                   1.21,                0.98145,                 1.0164,                 1.7298,                 1.4111,                 1.0098,                0.79977,                0.41688,                0.57991,                0.32693,                 1.1912,                0.91538,                0.98191,                  1.672,                 1.3045,                0.98283,                0.04507,              0.0060698,              0.0060698
                      3,                 1.2108,                0.91435,                0.99532,                 1.7146,                 1.2512,                 1.0063,                0.71509,                 0.5177,                 0.5736,                0.30833,                 1.2307,                0.92091,                0.98544,                 1.6646,                 1.5787,                0.99625,               0.017109,              0.0091089,              0.0091089
                      4,                  1.227,                 1.0739,                 1.0025,                 1.7248,                 1.2678,                 1.0062,                0.55987,                0.45987,                0.50021,                  0.265,                 1.3891,                0.95445,                 1.0589,                 1.9099,                 1.9236,                 1.0534,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3062,                0.87783,                 1.0153,                 1.8247,                 1.1344,                 1.0153,                0.52662,                0.46161,                0.50476,                0.26883,                 1.3243,                 0.9775,                 1.0389,                 1.8455,                 2.9921,                 1.0299,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.1605,                0.75166,                0.99058,                 1.7054,                 1.2274,                0.99562,                0.67289,                 0.5168,                0.56403,                0.29002,                 1.2443,                 1.4117,                 1.0261,                 1.8283,                  1.484,                 1.0302,               0.009802,               0.009802,               0.009802
                      7,                 1.1703,                0.78579,                0.98887,                 1.6911,                 1.0194,                0.99907,                 0.7153,                0.53364,                0.58328,                0.31434,                 1.2557,                0.86634,                 1.0189,                 1.7491,                0.99715,                  1.024,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.2394,                0.71167,                 1.0015,                 1.7793,                0.96277,                 1.0122,                0.68956,                0.51659,                0.56318,                 0.2915,                 1.3539,                 1.0331,                 1.0625,                 1.8036,                 1.2154,                 1.0463,               0.009703,               0.009703,               0.009703
                      9,                 1.2006,                0.69549,                0.99481,                  1.729,                0.89996,                 1.0018,                 0.6816,                0.53809,                0.57997,                0.30296,                 1.2803,                0.86527,                 1.0276,                 1.7961,                 1.2101,                 1.0286,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.1896,                0.66165,                0.98837,                  1.728,                0.91259,                0.99772,                0.75873,                0.53693,                0.58921,                 0.3076,                  1.296,                0.75464,                 1.0439,                 1.7932,                 1.0236,                 1.0375,               0.009604,               0.009604,               0.009604
                     11,                 1.1366,                 0.6643,                0.98064,                 1.6733,                0.88277,                0.98889,                0.80383,                0.53363,                0.61429,                0.32504,                 1.2213,                0.69572,                 1.0075,                  1.751,                0.91279,                 1.0126,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.1846,                0.65484,                  0.985,                 1.7443,                0.87374,                0.99684,                0.78209,                0.52398,                0.58569,                0.32241,                 1.2412,                0.73894,                 1.0277,                 1.7381,                 1.0222,                 1.0261,               0.009505,               0.009505,               0.009505
                     13,                 1.1397,                0.65917,                0.97235,                 1.6933,                0.90878,                0.98325,                0.76247,                0.54193,                0.59725,                0.32028,                 1.2952,                0.77282,                 1.0375,                 1.7662,                 1.0319,                 1.0301,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.1237,                0.63737,                0.97439,                 1.6385,                 0.8671,                0.99003,                0.76243,                0.55914,                0.61299,                0.33504,                 1.2334,                0.67643,                 1.0185,                 1.7034,                0.89229,                 1.0087,               0.009406,               0.009406,               0.009406
                     15,                 1.1358,                0.63289,                0.97687,                 1.6821,                0.84516,                0.98291,                0.75694,                0.54079,                0.60149,                0.30932,                 1.2176,                0.70458,                 1.0126,                 1.8015,                 1.0679,                 1.0212,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.1171,                0.61759,                0.97029,                 1.6787,                0.84967,                0.98256,                0.75177,                0.54818,                0.60317,                0.31933,                 1.2506,                0.67284,                 1.0221,                 1.7759,                0.89176,                  1.031,               0.009307,               0.009307,               0.009307
                     17,                 1.0687,                0.61813,                0.95927,                  1.626,                0.84817,                0.97485,                0.76916,                0.55517,                0.61386,                0.33241,                 1.2269,                0.67673,                 1.0116,                 1.7314,                0.92551,                 1.0124,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.0973,                0.62868,                0.95999,                 1.6537,                0.83057,                 0.9769,                0.69601,                0.53399,                0.58312,                0.31584,                 1.2248,                0.71328,                 1.0104,                 1.7285,                0.96012,                 1.0136,               0.009208,               0.009208,               0.009208
                     19,                 1.0798,                0.59017,                0.96135,                 1.6057,                0.79702,                0.97773,                0.77732,                0.52685,                0.59881,                0.31911,                 1.2395,                0.67061,                 1.0136,                 1.7604,                0.89205,                 1.0196,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.0788,                0.59159,                0.96072,                 1.6307,                0.81083,                0.97166,                0.74158,                0.53644,                0.59192,                 0.3196,                 1.2254,                0.67713,                   1.01,                 1.7592,                0.93204,                 1.0234,               0.009109,               0.009109,               0.009109
                     21,                 1.0728,                0.60174,                0.96146,                 1.5995,                0.79518,                0.96845,                0.69576,                0.57505,                0.61715,                0.34387,                 1.1831,                0.67565,                 1.0021,                  1.697,                0.88894,                 1.0122,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.0616,                0.58396,                0.94893,                 1.6242,                0.79113,                0.96516,                0.78825,                0.54098,                0.60696,                0.33154,                 1.2364,                0.67808,                 1.0068,                 1.7449,                0.88037,                  1.014,                0.00901,                0.00901,                0.00901
                     23,                 1.0551,                0.57944,                0.95082,                 1.6016,                0.77259,                 0.9642,                0.75506,                0.53658,                 0.6049,                0.32536,                 1.2039,                0.65682,                 1.0117,                 1.7601,                0.91802,                  1.018,              0.0089605,              0.0089605,              0.0089605
