                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6667,                 2.3243,                 1.1074,                 2.0751,                 3.0646,                 1.0624,                0.58131,                0.09501,                0.21097,                0.10751,                 1.6441,                 1.7959,                 1.1111,                 1.8376,                 2.8758,                 1.0413,             0.00055011,             0.00055011,             0.00055011
                      2,                 1.5506,                 1.3822,                 1.1201,                 1.9478,                 2.3203,                 1.0768,                0.45293,                0.35633,                0.33519,                0.15873,                 1.5639,                 1.3675,                  1.101,                 1.9019,                 2.2373,                 1.0615,              0.0011003,              0.0011003,              0.0011003
                      3,                 1.5527,                 1.2834,                  1.104,                 1.9794,                 2.0781,                 1.0684,                0.45706,                0.37376,                0.34505,                0.16719,                 1.5434,                 1.3329,                 1.1214,                 1.8848,                 2.1101,                 1.0763,               0.001645,               0.001645,               0.001645
                      4,                  1.499,                 1.2077,                  1.088,                 1.9349,                 1.9113,                 1.0614,                0.48588,                0.41443,                0.38506,                0.18902,                 1.4713,                 1.1608,                 1.0768,                 1.8787,                 1.9345,                 1.0726,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.5073,                 1.1736,                 1.0926,                  1.977,                 1.8517,                 1.0737,                0.53948,                0.42264,                0.40913,                0.19283,                 1.4844,                 1.1363,                 1.0847,                 1.8715,                 1.7711,                 1.0606,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.4553,                 1.1391,                 1.0749,                 1.9234,                 1.7917,                  1.057,                0.52981,                  0.401,                0.41047,                0.20005,                 1.4884,                 1.1308,                 1.0913,                 1.8495,                 1.7176,                 1.0704,               0.001634,               0.001634,               0.001634
                      7,                 1.4002,                 1.0496,                 1.0559,                 1.8855,                 1.6357,                 1.0501,                0.54444,                0.41787,                0.42011,                0.20641,                 1.3991,                  1.045,                 1.0505,                 1.8389,                  1.588,                 1.0531,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.3669,                 1.0304,                  1.049,                 1.8379,                 1.5787,                 1.0463,                 0.5281,                0.43081,                0.42932,                0.21686,                 1.3871,                 1.0367,                 1.0505,                 1.8354,                 1.5629,                 1.0479,              0.0016175,              0.0016175,              0.0016175
                      9,                   1.37,                 1.0127,                 1.0435,                 1.8982,                 1.5346,                 1.0448,                0.55776,                0.44809,                0.42516,                0.21237,                 1.3898,                 1.0287,                 1.0359,                 1.8241,                 1.6298,                 1.0483,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.3889,                 1.0076,                 1.0373,                 1.8996,                 1.4742,                 1.0391,                0.59083,                0.43036,                0.45801,                0.23514,                 1.3744,                0.98891,                 1.0402,                 1.8256,                 1.4078,                 1.0396,               0.001601,               0.001601,               0.001601
                     11,                 1.3443,                0.95618,                 1.0251,                 1.8448,                 1.4209,                  1.027,                0.64077,                0.44086,                0.47711,                 0.2425,                  1.365,                0.94511,                 1.0426,                 1.7621,                 1.3669,                 1.0371,              0.0015927,              0.0015927,              0.0015927
                     12,                 1.3495,                0.94417,                  1.036,                 1.8278,                 1.3996,                 1.0357,                0.57544,                0.44859,                 0.4599,                0.23118,                 1.3454,                0.92971,                 1.0241,                 1.8261,                  1.396,                 1.0417,              0.0015845,              0.0015845,              0.0015845
                     13,                 1.3313,                0.91935,                 1.0124,                  1.882,                 1.3685,                 1.0202,                0.61986,                0.45027,                0.48582,                0.24349,                 1.3547,                0.90795,                 1.0322,                  1.762,                 1.3158,                 1.0279,              0.0015762,              0.0015762,              0.0015762
                     14,                 1.3039,                0.91875,                 1.0199,                 1.7795,                 1.3304,                 1.0201,                0.64679,                0.44411,                0.48317,                0.25238,                 1.3191,                0.88934,                 1.0228,                 1.7547,                 1.3019,                  1.031,               0.001568,               0.001568,               0.001568
                     15,                  1.292,                0.88679,                 1.0071,                 1.8206,                 1.3046,                 1.0148,                0.61265,                 0.4563,                0.47744,                0.24781,                 1.3461,                0.90195,                 1.0425,                 1.7274,                 1.3379,                 1.0378,              0.0015597,              0.0015597,              0.0015597
                     16,                 1.3316,                0.88624,                 1.0189,                 1.8503,                  1.304,                 1.0274,                0.60757,                0.46314,                0.48784,                0.24726,                 1.3447,                0.89171,                 1.0272,                 1.7731,                 1.2597,                 1.0293,              0.0015515,              0.0015515,              0.0015515
                     17,                 1.2768,                0.86932,                 1.0059,                 1.7871,                 1.2609,                  1.011,                0.62682,                0.44178,                0.48239,                0.24724,                  1.353,                0.87953,                 1.0319,                 1.7677,                 1.2526,                 1.0323,              0.0015432,              0.0015432,              0.0015432
                     18,                 1.2846,                0.86321,                 1.0092,                 1.7671,                 1.2509,                 1.0137,                0.62169,                0.46922,                0.49313,                0.26162,                 1.2824,                0.82653,                 1.0101,                 1.7269,                 1.1962,                 1.0225,               0.001535,               0.001535,               0.001535
                     19,                 1.2478,                0.84363,                0.99617,                 1.7426,                 1.2187,                 1.0049,                 0.6054,                0.49604,                0.50956,                 0.2557,                 1.2911,                0.82946,                 1.0068,                 1.7167,                 1.1669,                 1.0171,              0.0015267,              0.0015267,              0.0015267
                     20,                 1.2753,                0.82973,                  1.004,                 1.7868,                 1.2187,                  1.014,                0.67917,                0.46636,                0.51434,                0.26087,                 1.3099,                0.83082,                 1.0106,                 1.7375,                 1.1666,                 1.0213,              0.0015185,              0.0015185,              0.0015185
                     21,                 1.2628,                0.82667,                0.99292,                 1.7907,                 1.2136,                 1.0071,                0.60223,                0.48436,                0.49872,                0.25653,                 1.2985,                0.85586,                 1.0106,                 1.7423,                 1.2333,                 1.0163,              0.0015102,              0.0015102,              0.0015102
