                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6555,                 3.4609,                 1.1758,                 2.1185,                 3.8557,                 1.1164,                0.00245,                 0.0568,                0.01089,                0.00604,                 2.4799,                 3.5448,                 1.3782,                 2.6965,                 4.1183,                 1.2752,                0.09208,                  8e-05,                  8e-05
                      2,                 1.5346,                 2.1493,                 1.0795,                 1.9566,                 2.9407,                  1.051,                0.00563,                 0.1306,                0.04359,                 0.0241,                 2.2485,                 3.3792,                 1.5289,                 2.5037,                 4.0085,                 1.3924,               0.083169,             0.00016916,             0.00016916
                      3,                 1.4547,                 1.4989,                 1.0596,                 1.9503,                 2.2103,                 1.0407,                0.00592,                0.13717,                0.06164,                0.04131,                 1.8706,                 3.1095,                 1.3825,                  2.337,                 4.0271,                 1.4437,               0.074257,             0.00025743,             0.00025743
                      4,                 1.4051,                 1.1688,                 1.0408,                  1.915,                  1.825,                 1.0267,                0.00813,                0.18856,                0.08135,                 0.0538,                 1.7249,                  3.114,                 1.2522,                 2.1184,                 4.1185,                 1.2348,               0.065345,              0.0003448,              0.0003448
                      5,                 1.3471,                 1.0239,                 1.0312,                 1.8839,                 1.6377,                 1.0201,                 0.0079,                0.18315,                0.08773,                0.05789,                 1.6798,                 3.2348,                 1.2367,                 2.1027,                 4.2612,                 1.2257,               0.056431,             0.00043129,             0.00043129
                      6,                 1.3517,                0.96577,                 1.0125,                 1.9069,                 1.5293,                 1.0064,                0.00933,                0.21638,                0.10342,                0.07034,                 1.7304,                 3.1997,                 1.2251,                 2.0855,                 4.1673,                 1.1629,               0.047517,             0.00051688,             0.00051688
                      7,                 1.3547,                0.94233,                 1.0257,                 1.9057,                 1.4715,                 1.0158,                0.01012,                0.23454,                0.13595,                0.09302,                 1.6483,                 2.8228,                 1.2173,                 2.1523,                  3.964,                 1.1909,               0.038602,             0.00060159,             0.00060159
                      8,                 1.2938,                0.88832,                 1.0071,                 1.8452,                 1.3885,                 1.0022,                0.96926,                0.05873,                0.37051,                0.22897,                 1.6188,                 2.4759,                 1.1281,                 2.0292,                 3.5119,                 1.0608,               0.029685,              0.0006854,              0.0006854
                      9,                 1.3086,                 0.8769,                 1.0078,                 1.8609,                 1.3694,                0.99519,                0.18407,                 0.4565,                0.29841,                 0.1651,                 1.5584,                 2.2149,                 1.1042,                 2.0212,                 3.3194,                 1.0501,               0.020768,             0.00076832,             0.00076832
                     10,                 1.3137,                0.86025,                 1.0023,                  1.882,                 1.3421,                0.99256,                0.81607,                 0.1306,                0.29553,                0.15597,                 1.5879,                 1.8056,                 1.1214,                 2.0304,                 2.8929,                 1.0792,                0.01185,             0.00085035,             0.00085035
                     11,                 1.3236,                 0.8625,                 1.0097,                 1.8553,                 1.3228,                 1.0021,                0.83535,                 0.1109,                0.29145,                0.15683,                  1.572,                 1.5814,                 1.1051,                 2.0205,                 2.5894,                 1.0568,              0.0029315,             0.00093149,             0.00093149
                     12,                 1.3096,                0.84778,                0.99781,                 1.8688,                 1.2819,                0.99867,                0.79537,                0.13988,                0.30706,                0.16725,                 1.5595,                   1.39,                  1.105,                 1.9978,                  2.357,                 1.0563,             0.00094555,             0.00094555,             0.00094555
                     13,                 1.2774,                0.82154,                0.98894,                 1.8248,                 1.2413,                0.98941,                0.81418,                0.13602,                0.30565,                0.17008,                 1.5575,                 1.4741,                 1.1174,                 2.0052,                 2.4587,                 1.0667,             0.00094555,             0.00094555,             0.00094555
                     14,                 1.2781,                 0.8113,                      1,                 1.8354,                 1.2257,                 1.0029,                0.68763,                0.17495,                0.31653,                0.17126,                 1.5912,                 1.4885,                 1.1496,                 1.9574,                 2.2989,                 1.0675,              0.0009406,              0.0009406,              0.0009406
                     15,                 1.2852,                0.81317,                0.98963,                 1.8556,                 1.2189,                0.99149,                0.57847,                0.25395,                0.34002,                0.18203,                 1.5187,                 1.2239,                 1.0796,                 1.9849,                 1.9535,                 1.0397,             0.00093565,             0.00093565,             0.00093565
                     16,                 1.2674,                0.79637,                0.98087,                 1.8476,                 1.1809,                0.98453,                0.42921,                0.35187,                0.32266,                0.17102,                 1.4502,                 1.1795,                 1.0593,                  1.981,                 1.6965,                 1.0391,              0.0009307,              0.0009307,              0.0009307
