                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8203,                  3.411,                 1.2679,                 2.2656,                 3.8226,                 1.1814,                0.00245,                 0.0568,                0.00825,                0.00391,                 2.6248,                 3.5643,                 1.3673,                 2.8684,                 4.1249,                  1.276,                0.09208,                  8e-05,                  8e-05
                      2,                   1.64,                 2.0251,                 1.1043,                 2.0869,                 2.7783,                  1.078,                0.00547,                0.12674,                 0.0209,                0.00944,                 2.5511,                 3.4573,                 1.5704,                 2.6899,                 4.0746,                 1.3965,               0.083169,             0.00016916,             0.00016916
                      3,                 1.6201,                 1.6248,                 1.0915,                 2.1255,                 2.2723,                  1.061,                0.00825,                0.19127,                0.06059,                0.02586,                 2.2932,                 3.3432,                 1.4036,                 2.5523,                 3.9825,                 1.2708,               0.074257,             0.00025743,             0.00025743
                      4,                 1.5487,                 1.3519,                 1.0781,                 2.0638,                 1.9804,                 1.0483,                 0.0097,                0.22488,                0.07883,                0.04842,                 1.6282,                 3.4588,                 1.1419,                 2.0837,                 4.0571,                 1.0841,               0.065345,              0.0003448,              0.0003448
                      5,                 1.4995,                 1.2009,                 1.0835,                 2.0516,                 1.8376,                 1.0572,                0.01047,                0.24266,                0.11081,                0.07001,                 1.5922,                 3.2989,                 1.1048,                 2.0852,                 3.8148,                 1.0593,               0.056431,             0.00043129,             0.00043129
                      6,                 1.4487,                 1.0791,                 1.0528,                 2.0176,                 1.6877,                  1.038,                0.01018,                0.23609,                0.11798,                0.07869,                 1.5891,                 3.2624,                 1.1049,                 2.0429,                 3.7952,                 1.0597,               0.047517,             0.00051688,             0.00051688
                      7,                 1.4325,                 1.0386,                 1.0489,                 2.0031,                 1.6284,                 1.0296,                0.00939,                0.21716,                0.11192,                0.07199,                  1.675,                 3.2506,                  1.171,                 2.0356,                 3.8855,                 1.0599,               0.038602,             0.00060159,             0.00060159
                      8,                 1.4284,                 1.0196,                 1.0589,                 1.9878,                 1.5921,                  1.037,                0.05588,                0.45595,                0.16439,                0.09739,                 1.6464,                 2.8929,                 1.0988,                 2.1125,                 3.3978,                 1.0498,               0.029685,              0.0006854,              0.0006854
                      9,                 1.4216,                0.99611,                 1.0481,                 1.9931,                 1.5332,                 1.0338,                0.92795,                0.08262,                0.19046,                0.11066,                 1.6568,                 2.3557,                 1.0935,                 2.1094,                 2.9001,                 1.0275,               0.020768,             0.00076832,             0.00076832
                     10,                 1.4069,                0.98148,                 1.0416,                 1.9783,                  1.503,                 1.0266,                0.92357,                0.10707,                0.22138,                0.13409,                 1.5634,                 2.2153,                 1.0659,                 2.0379,                 2.7881,                 1.0121,                0.01185,             0.00085035,             0.00085035
