                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7691,                 3.1964,                 1.2779,                 2.2269,                 3.7723,                 1.1917,                 0.0041,                0.09505,                0.01503,                0.00741,                 2.2968,                 3.4411,                 1.3291,                 2.6687,                 4.1082,                 1.2916,                0.09208,                  8e-05,                  8e-05
                      2,                 1.6021,                 1.8372,                 1.1407,                 2.0736,                 2.7791,                 1.1001,                0.00707,                0.16383,                0.04498,                 0.0222,                 2.3984,                 3.4131,                 1.4813,                 2.7097,                 4.0491,                 1.3499,               0.083169,             0.00016916,             0.00016916
                      3,                 1.5798,                 1.4786,                 1.1215,                 2.0976,                 2.2449,                 1.0918,                0.00802,                0.18586,                0.06476,                0.03444,                 2.1917,                 3.3103,                 1.3697,                 2.5071,                  3.992,                 1.2724,               0.074257,             0.00025743,             0.00025743
                      4,                 1.5055,                 1.2706,                 1.0954,                 2.0085,                 1.9672,                 1.0584,                0.00967,                0.22411,                0.09526,                0.05721,                 1.6441,                  3.182,                 1.1382,                 2.1196,                 4.0052,                 1.1219,               0.065345,              0.0003448,              0.0003448
                      5,                 1.4948,                 1.1768,                 1.0987,                 1.9973,                 1.8394,                 1.0551,                0.01147,                0.26584,                0.11916,                0.07803,                 1.5507,                 2.9385,                  1.104,                 1.9467,                 3.8796,                 1.0783,               0.056431,             0.00043129,             0.00043129
                      6,                 1.4386,                 1.0825,                 1.0676,                 1.9677,                 1.6921,                 1.0475,                0.31921,                0.31321,                0.30128,                0.18004,                 1.5843,                 2.7719,                 1.1182,                 1.9678,                 3.8017,                  1.069,               0.047517,             0.00051688,             0.00051688
                      7,                 1.4483,                 1.0594,                 1.0567,                 2.0244,                 1.6422,                 1.0415,                0.22885,                0.33332,                0.27292,                0.15122,                 1.6735,                  2.688,                 1.1609,                 2.0749,                 3.7823,                 1.1181,               0.038602,             0.00060159,             0.00060159
                      8,                 1.4073,                  1.025,                 1.0638,                 1.9565,                  1.596,                  1.041,                0.14107,                0.47031,                0.28111,                 0.1444,                 1.6213,                 2.3611,                  1.123,                 2.0002,                 3.4423,                 1.0585,               0.029685,              0.0006854,              0.0006854
                      9,                 1.4197,                  1.015,                 1.0575,                 1.9626,                 1.5479,                 1.0315,                0.13176,                0.52851,                 0.3115,                0.16687,                 1.5983,                 1.9497,                 1.1313,                 1.9663,                 2.9458,                 1.0468,               0.020768,             0.00076832,             0.00076832
                     10,                 1.3991,                0.97207,                 1.0429,                 1.9671,                 1.4904,                 1.0315,                0.07999,                0.53093,                0.27461,                0.13618,                 1.5916,                 1.8208,                  1.146,                 2.0163,                 2.9535,                 1.0987,                0.01185,             0.00085035,             0.00085035
