                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6131,                 3.6434,                 1.1692,                 2.1168,                 4.0571,                 1.1212,                  0.005,                0.11592,                0.03943,                0.02537,                 1.8426,                 3.3142,                 1.1454,                 2.2479,                  4.031,                 1.1227,                0.09208,                  8e-05,                  8e-05
                      2,                 1.6069,                 2.4565,                  1.088,                 1.9729,                 3.1653,                 1.0532,                0.00512,                0.11862,                 0.0489,                0.03219,                 1.6884,                 3.1433,                 1.0963,                 2.1586,                 3.9619,                 1.0961,               0.083169,             0.00016916,             0.00016916
                      3,                 1.5783,                 1.6154,                 1.0888,                 2.0132,                 2.3228,                 1.0545,                  0.005,                0.11592,                0.04813,                 0.0323,                 1.8879,                 3.1648,                 1.1242,                 2.4588,                 4.0565,                  1.128,               0.074257,             0.00025743,             0.00025743
                      4,                 1.5408,                 1.3033,                 1.0721,                 2.0337,                 1.9357,                  1.046,                0.00673,                0.15611,                0.06367,                0.04386,                 1.5473,                 3.3245,                 1.0883,                  2.084,                 4.2785,                 1.0941,               0.065345,              0.0003448,              0.0003448
                      5,                 1.5148,                 1.1624,                 1.0739,                 1.9957,                 1.7646,                 1.0519,                0.00758,                0.17581,                0.06954,                0.04707,                  1.617,                 3.4501,                 1.1158,                 2.1194,                 4.4166,                 1.0936,               0.056431,             0.00043129,             0.00043129
                      6,                  1.502,                 1.0626,                 1.0644,                 2.0128,                 1.6392,                 1.0371,                0.00781,                0.18083,                0.07063,                0.04634,                 1.7363,                 3.5487,                 1.1341,                 2.2033,                 4.4869,                 1.1036,               0.047517,             0.00051688,             0.00051688
                      7,                  1.492,                 1.0368,                 1.0676,                 1.9825,                 1.5772,                 1.0373,                 0.0136,                0.18509,                0.08071,                0.05636,                 1.7023,                 3.6085,                 1.1764,                 2.0356,                 4.4678,                 1.0975,               0.038602,             0.00060159,             0.00060159
                      8,                 1.5444,                 1.0535,                 1.0862,                 2.0017,                 1.5424,                  1.044,                0.01705,                0.24156,                0.11764,                0.08182,                  1.661,                 2.9816,                 1.1449,                 2.0032,                 3.9682,                 1.0818,               0.029685,              0.0006854,              0.0006854
                      9,                 1.4717,                0.98659,                 1.0608,                 1.9699,                 1.4789,                 1.0372,                0.03475,                0.34719,                0.13765,                0.08535,                 1.7557,                 2.9256,                 1.1639,                 2.0631,                 3.9559,                 1.0586,               0.020768,             0.00076832,             0.00076832
                     10,                 1.5233,                 1.0035,                 1.0774,                 2.0225,                 1.4804,                 1.0507,                0.52036,                0.09606,                0.15708,                0.08572,                 1.8221,                 2.5166,                 1.1547,                 2.2059,                  3.685,                 1.0775,                0.01185,             0.00085035,             0.00085035
