                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7761,                 3.3444,                  1.256,                 2.2365,                 3.7906,                 1.1845,                0.00308,                0.07148,                0.01817,                0.01033,                 1.9345,                 3.4227,                 1.1538,                 2.3192,                 4.0636,                 1.1412,                0.09208,                  8e-05,                  8e-05
                      2,                 1.7204,                 2.1925,                 1.1473,                 2.1083,                  2.863,                  1.102,                0.00422,                0.09776,                0.03323,                0.01551,                 2.4311,                 3.4005,                 1.2526,                 2.7248,                 4.0243,                  1.207,               0.083169,             0.00016916,             0.00016916
                      3,                 1.6845,                 1.5292,                 1.1256,                 2.1522,                 2.2444,                 1.0901,                0.00833,                 0.1932,                0.07643,                0.04569,                 1.8128,                 3.2311,                 1.1458,                 2.3282,                 3.9917,                 1.1351,               0.074257,             0.00025743,             0.00025743
                      4,                  1.627,                 1.3258,                 1.1194,                 2.1138,                 1.9973,                  1.088,                0.05994,                0.44754,                0.15279,                0.07556,                 1.7121,                 3.2274,                 1.1123,                 2.1311,                 3.8956,                 1.0675,               0.065345,              0.0003448,              0.0003448
                      5,                 1.6526,                 1.2495,                 1.1242,                  2.136,                 1.8621,                 1.0823,                0.03103,                0.52514,                0.15747,                0.07316,                 1.7843,                 3.1817,                 1.1068,                 2.2725,                 3.8027,                 1.0661,               0.056431,             0.00043129,             0.00043129
                      6,                 1.5995,                 1.1963,                 1.1065,                 2.1213,                 1.7933,                 1.0787,                 0.0322,                0.53275,                0.20016,                0.10723,                 1.6046,                 3.1723,                 1.1258,                 2.0383,                 3.7706,                  1.077,               0.047517,             0.00051688,             0.00051688
                      7,                 1.5768,                 1.1499,                 1.1038,                 2.0946,                 1.7364,                 1.0741,                0.03771,                0.57446,                0.24055,                0.12233,                 1.6728,                 2.9272,                 1.1397,                 2.0811,                 3.5255,                 1.0843,               0.038602,             0.00060159,             0.00060159
                      8,                 1.6309,                 1.1292,                 1.1167,                 2.1428,                 1.6598,                 1.0818,                 0.0355,                 0.5958,                0.25611,                0.13048,                 1.6739,                 2.5422,                 1.1687,                 2.1244,                 3.2103,                 1.1112,               0.029685,              0.0006854,              0.0006854
                      9,                 1.5614,                 1.1129,                 1.0946,                 2.0842,                 1.6279,                 1.0663,                0.03974,                 0.6387,                0.28802,                0.13424,                  1.813,                 2.5144,                 1.1994,                 2.1954,                 3.0466,                 1.1159,               0.020768,             0.00076832,             0.00076832
                     10,                 1.5962,                 1.0888,                 1.1016,                  2.115,                 1.6007,                 1.0691,                0.04946,                0.64234,                0.34116,                0.17149,                 1.6056,                 2.1423,                 1.1252,                 1.9449,                 2.6311,                 1.0597,                0.01185,             0.00085035,             0.00085035
