                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7892,                 3.5562,                 1.2694,                 2.2308,                 3.9975,                 1.1886,                0.00302,                0.06994,                0.01442,                0.00839,                 2.0608,                 3.4453,                 1.2095,                 2.4532,                 4.0578,                  1.174,                0.09208,                  8e-05,                  8e-05
                      2,                 1.7679,                 2.3256,                 1.1311,                  2.138,                 3.0186,                 1.0881,                0.00573,                0.13292,                0.03137,                 0.0131,                 2.5862,                 3.4823,                 1.2865,                 2.8119,                 4.0312,                 1.2189,               0.083169,             0.00016916,             0.00016916
                      3,                 1.7304,                 1.6491,                  1.125,                 2.1658,                 2.3228,                 1.0825,                 0.0093,                0.21561,                 0.0894,                0.05041,                 1.7717,                    3.1,                 1.1279,                 2.2899,                 3.9414,                 1.1188,               0.074257,             0.00025743,             0.00025743
                      4,                 1.6431,                 1.3637,                 1.1157,                 2.0904,                 2.0164,                 1.0707,                0.01022,                0.23686,                 0.1099,                0.06832,                 1.6381,                 3.1154,                 1.1056,                 2.1083,                 4.0031,                 1.0637,               0.065345,              0.0003448,              0.0003448
                      5,                 1.6611,                 1.3082,                 1.1376,                 2.1032,                  1.935,                 1.0845,                0.01108,                0.25696,                0.11966,                0.06804,                 1.5777,                 3.1216,                 1.1028,                 2.0199,                  3.979,                 1.0651,               0.056431,             0.00043129,             0.00043129
                      6,                 1.6138,                 1.2189,                 1.1097,                 2.0674,                 1.8246,                 1.0673,                0.51263,                0.29378,                0.37681,                0.10355,                 1.6973,                 3.0679,                 1.1253,                 2.1999,                 3.9118,                 1.0754,               0.047517,             0.00051688,             0.00051688
                      7,                 1.6329,                 1.1807,                 1.0972,                 2.1025,                 1.7655,                 1.0566,                0.17581,                0.44714,                0.27488,                 0.1465,                 1.6147,                 2.9753,                 1.1281,                 2.0596,                 3.7449,                 1.0626,               0.038602,             0.00060159,             0.00060159
                      8,                 1.5898,                 1.1494,                 1.1079,                 2.0881,                 1.7005,                 1.0662,                0.11872,                0.52949,                0.31772,                0.17013,                 1.6068,                 2.6353,                 1.0943,                 1.9554,                 3.4005,                 1.0445,               0.029685,              0.0006854,              0.0006854
                      9,                 1.6034,                 1.1373,                 1.1079,                 2.0988,                 1.6757,                 1.0723,                0.06388,                0.61052,                 0.3025,                0.15726,                 1.6955,                 2.2771,                  1.096,                 2.0906,                 3.0754,                 1.0464,               0.020768,             0.00076832,             0.00076832
                     10,                 1.6053,                 1.0667,                 1.1015,                 2.1025,                 1.5945,                 1.0661,                0.51182,                0.25296,                0.29827,                0.15346,                 1.6483,                 2.0507,                 1.1228,                 2.0674,                 2.8543,                 1.0546,                0.01185,             0.00085035,             0.00085035
                     11,                 1.5574,                 1.0654,                 1.0851,                 2.0756,                 1.5588,                 1.0601,                  0.832,                0.09851,                0.24453,                0.12683,                 1.7873,                 1.9424,                 1.1975,                 2.1812,                 2.6845,                 1.1023,              0.0029315,             0.00093149,             0.00093149
                     12,                 1.5729,                 1.0638,                 1.0944,                 2.0898,                 1.5507,                 1.0671,                0.74681,                0.11333,                0.35536,                0.17865,                  1.571,                 1.5517,                 1.1151,                 1.9797,                 2.2286,                 1.0504,             0.00094555,             0.00094555,             0.00094555
                     13,                 1.5781,                 1.0421,                 1.0824,                 2.1104,                 1.5357,                  1.059,                0.72512,                0.18476,                0.38154,                0.18885,                 1.6087,                 1.4208,                 1.0716,                 2.0197,                 1.9657,                 1.0299,             0.00094555,             0.00094555,             0.00094555
                     14,                 1.5127,                0.99616,                 1.0776,                 2.0566,                 1.4861,                 1.0578,                 0.6872,                0.24847,                0.36726,                0.18846,                 1.5604,                 1.3155,                 1.1022,                 1.9885,                 1.9132,                 1.0573,              0.0009406,              0.0009406,              0.0009406
                     15,                 1.4986,                 1.0023,                 1.0777,                 2.0206,                 1.4792,                 1.0576,                0.63209,                0.26647,                0.37689,                0.20026,                 1.5365,                 1.2041,                 1.0869,                 2.0007,                  1.783,                 1.0551,             0.00093565,             0.00093565,             0.00093565
                     16,                 1.4347,                0.91555,                 1.0444,                 1.9665,                 1.3606,                 1.0294,                0.64745,                0.28788,                0.37483,                0.19868,                 1.5423,                  1.133,                 1.1086,                 2.0144,                 1.7752,                 1.0733,              0.0009307,              0.0009307,              0.0009307
                     17,                  1.461,                0.96386,                 1.0609,                 2.0109,                 1.4434,                 1.0486,                0.48422,                0.40499,                0.37845,                0.18541,                 1.5007,                 1.3293,                 1.0773,                 2.0087,                 1.6475,                 1.0492,             0.00092575,             0.00092575,             0.00092575
                     18,                 1.4037,                0.91588,                 1.0417,                 1.9264,                 1.3743,                 1.0319,                0.56211,                0.38877,                0.41418,                0.21841,                  1.471,                 1.0261,                 1.0664,                 1.9546,                 1.4933,                 1.0316,              0.0009208,              0.0009208,              0.0009208
