                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6081,                 3.5136,                 1.2122,                 2.1012,                 3.9657,                 1.1432,                 0.0029,                0.05989,                0.00543,                0.00346,                 1.3926,                 3.5186,                0.99366,                 1.9874,                 4.0961,                 1.0156,                 0.0928,                 0.0008,                 0.0008
                      2,                 1.5337,                 2.7731,                 1.1775,                 1.9503,                 3.4624,                 1.0989,                 0.0038,                 0.0881,                0.01351,                0.00936,                 1.4223,                 3.3453,                 1.0115,                 2.0258,                 4.0083,                 1.0293,               0.084692,              0.0016916,              0.0016916
                      3,                 1.5185,                 1.7161,                 1.1636,                 1.9593,                 2.6294,                 1.0771,                0.00337,                0.07805,                0.01657,                0.01128,                 1.4442,                 3.3064,                 1.0112,                 2.1759,                 3.9721,                 1.0485,               0.076574,              0.0025743,              0.0025743
                      4,                 1.4835,                 1.3714,                 1.1319,                 1.9524,                 2.2282,                 1.0594,                0.00325,                0.07535,                 0.0283,                0.02287,                  1.347,                 3.2685,                 1.0045,                 1.9145,                 3.9114,                 1.0125,               0.068448,               0.003448,               0.003448
                      5,                 1.4226,                 1.2319,                 1.1022,                 1.9209,                 2.0107,                 1.0571,                 0.0036,                0.08308,                 0.0396,                0.03221,                 1.6174,                 3.2186,                 1.0445,                 2.2317,                 3.8704,                 1.0382,               0.060313,              0.0043129,              0.0043129
                      6,                  1.429,                  1.168,                 1.0907,                 1.9181,                 1.8807,                 1.0413,                0.00451,                 0.1024,                0.06518,                0.05374,                  1.457,                 3.0738,                 1.0208,                 1.9126,                 3.7542,                 1.0026,               0.052169,              0.0051688,              0.0051688
                      7,                 1.4119,                 1.1378,                 1.0822,                  1.878,                 1.8178,                 1.0386,                0.00542,                0.11592,                 0.0764,                0.05579,                 1.5678,                 2.9581,                 1.0323,                 2.0099,                 3.6929,                 1.0071,               0.044016,              0.0060159,              0.0060159
                      8,                 1.4052,                 1.0761,                 1.0705,                 1.8886,                 1.6997,                 1.0413,                0.13836,                0.10858,                0.08537,                0.06586,                  1.591,                 2.7635,                 1.0418,                 2.1292,                 3.5406,                 1.0255,               0.035854,               0.006854,               0.006854
                      9,                 1.4064,                 1.0842,                 1.0556,                  1.919,                 1.6714,                 1.0324,                0.79279,                0.08655,                0.11593,                0.07974,                 1.6051,                 2.5526,                 1.0747,                 2.1672,                 3.2885,                 1.0723,               0.027683,              0.0076832,              0.0076832
                     10,                 1.4448,                 1.0586,                 1.0465,                 1.9833,                 1.5947,                 1.0257,                0.89184,                0.05319,                0.18302,                0.10845,                 1.5643,                 2.2483,                 1.1157,                 2.0029,                 3.1895,                 1.0813,               0.019504,              0.0085035,              0.0085035
                     11,                 1.3908,                 1.0164,                 1.0469,                 1.9195,                 1.5738,                 1.0385,                0.90903,                0.05332,                0.24084,                0.13093,                 1.6151,                 2.0801,                 1.1018,                  2.009,                 2.9334,                 1.0499,               0.011315,              0.0093149,              0.0093149
                     12,                 1.4067,                  1.051,                 1.0423,                 1.9415,                 1.5534,                 1.0275,                0.80867,                0.13376,                0.34646,                0.17282,                 1.5882,                 1.6004,                 1.1318,                 1.9884,                 2.3316,                 1.0619,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4474,                 1.0358,                 1.0452,                 1.9953,                 1.5176,                 1.0409,                0.68218,                0.20776,                0.29054,                0.15228,                 1.6759,                 1.5752,                 1.2263,                 2.1476,                 2.2548,                 1.1889,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.3692,                0.99643,                 1.0371,                  1.899,                 1.4682,                  1.037,                0.49971,                0.29319,                0.30544,                 0.1484,                 1.5806,                 1.3818,                 1.1913,                 2.1015,                 2.0565,                 1.1589,               0.009406,               0.009406,               0.009406
                     15,                 1.3846,                0.98259,                 1.0314,                  1.935,                 1.4162,                 1.0296,                0.43595,                0.31416,                0.29146,                0.15324,                 1.5735,                 1.3345,                  1.154,                 2.0981,                 1.8772,                  1.161,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4042,                0.96616,                  1.025,                 1.9775,                 1.3896,                 1.0236,                0.41918,                0.35987,                0.32614,                0.15596,                 1.5837,                 1.3132,                 1.1517,                 2.0752,                 1.9473,                 1.1239,               0.009307,               0.009307,               0.009307
