                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8031,                 3.6788,                 1.2993,                 2.2532,                  4.141,                 1.2071,                0.00904,                0.00939,                0.00716,                0.00543,                 1.4043,                 3.5245,                 1.0003,                 1.9647,                 4.0952,                   1.01,                 0.0928,                 0.0008,                 0.0008
                      2,                  1.639,                 3.1372,                  1.149,                  2.055,                 3.7304,                 1.0938,                0.00992,                0.08976,                0.02987,                0.02152,                 1.5279,                 3.3048,                 1.0072,                 2.0747,                 3.9612,                 1.0181,               0.084692,              0.0016916,              0.0016916
                      3,                 1.6289,                 2.0546,                 1.0975,                 2.0631,                 2.8527,                  1.057,                0.00796,                0.11437,                0.05266,                 0.0386,                 1.5668,                 3.1086,                 1.0383,                 2.0218,                 3.8662,                 1.0208,               0.076574,              0.0025743,              0.0025743
                      4,                 1.5404,                 1.4285,                  1.083,                 1.9939,                 2.3559,                 1.0558,                0.02532,                0.10135,                0.05485,                0.04503,                 1.4211,                 2.9641,                0.99836,                 1.9103,                 3.8059,                 1.0036,               0.068448,               0.003448,               0.003448
                      5,                 1.5289,                 1.2796,                 1.0912,                  2.005,                 2.1058,                 1.0643,                0.04477,                0.14011,                0.09966,                0.07811,                 1.4941,                 2.9074,                0.99713,                 1.9735,                 3.7364,                0.99552,               0.060313,              0.0043129,              0.0043129
                      6,                  1.469,                 1.2167,                 1.0731,                 1.9616,                 2.0021,                 1.0528,                0.03013,                0.16434,                 0.1074,                0.08484,                 1.4048,                 2.8613,                0.99639,                 1.8674,                 3.6315,                0.98131,               0.052169,              0.0051688,              0.0051688
                      7,                 1.4635,                  1.154,                 1.0546,                 1.9919,                 1.8755,                 1.0374,                0.02098,                0.16963,                0.11162,                0.08072,                 1.6408,                 2.7731,                   1.03,                 2.1394,                 3.5106,                  1.017,               0.044016,              0.0060159,              0.0060159
                      8,                 1.4981,                 1.1636,                 1.0717,                 2.0083,                 1.8174,                 1.0471,                0.02218,                0.21566,                0.13248,                0.10053,                 1.5125,                 2.5892,                 1.0107,                 2.0508,                 3.3108,                 1.0053,               0.035854,               0.006854,               0.006854
                      9,                 1.4882,                  1.134,                 1.0701,                 1.9916,                 1.7404,                 1.0425,                 0.0348,                0.39956,                0.20083,                0.11683,                  1.605,                 2.4381,                 1.0546,                 2.2151,                  3.051,                 1.0609,               0.027683,              0.0076832,              0.0076832
                     10,                 1.4739,                 1.1333,                 1.0592,                 2.0328,                 1.7293,                 1.0471,                0.74783,                0.13952,                0.34321,                0.17342,                 1.5283,                  2.148,                 1.0669,                 1.9783,                 2.6744,                 1.0353,               0.019504,              0.0085035,              0.0085035
                     11,                 1.4943,                  1.118,                 1.0662,                  1.994,                 1.6705,                 1.0519,                0.67597,                0.14835,                0.31365,                0.13937,                 1.7045,                 1.8427,                 1.1471,                 2.1749,                  2.352,                 1.0741,               0.011315,              0.0093149,              0.0093149
                     12,                 1.4993,                 1.1261,                 1.0788,                  2.031,                 1.6539,                 1.0592,                 0.5327,                0.32775,                0.31679,                 0.1406,                 1.7611,                 1.6094,                 1.2282,                 2.1451,                 2.1843,                 1.0978,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5101,                 1.1264,                 1.0695,                 2.0631,                 1.6206,                 1.0533,                 0.4867,                0.36392,                0.33018,                0.14085,                 1.7208,                 1.4651,                 1.2219,                 2.1073,                 1.9104,                 1.1349,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.4893,                 1.0898,                 1.0721,                 2.0352,                  1.589,                 1.0617,                0.50618,                0.41561,                0.35791,                 0.1699,                 1.5994,                 1.3217,                 1.1426,                 2.0987,                 1.8584,                 1.1438,               0.009406,               0.009406,               0.009406
                     15,                 1.4687,                   1.08,                 1.0673,                 1.9965,                 1.5728,                 1.0635,                0.43405,                0.29448,                0.25866,                0.13251,                 1.6087,                 1.6743,                  1.219,                 2.1115,                 2.1932,                 1.2299,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4243,                 1.0333,                 1.0457,                 1.9657,                 1.5217,                 1.0474,                0.44774,                0.29557,                0.25958,                 0.1227,                 1.6561,                 1.6377,                 1.2103,                 2.2091,                 2.0927,                 1.1939,               0.009307,               0.009307,               0.009307
                     17,                 1.4588,                 1.0383,                 1.0637,                 2.0114,                 1.5199,                 1.0637,                0.47553,                 0.3507,                  0.318,                0.14503,                 1.6526,                  1.423,                 1.1933,                 2.1428,                 1.8604,                 1.1506,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.4378,                 1.0131,                 1.0546,                 1.9891,                 1.4781,                 1.0599,                0.43765,                 0.3479,                0.32249,                0.14983,                 1.6177,                  1.384,                 1.1491,                  2.088,                 1.8699,                  1.114,               0.009208,               0.009208,               0.009208
                     19,                 1.4386,                 1.0047,                 1.0484,                 1.9832,                 1.4442,                 1.0509,                0.51901,                0.33925,                0.34871,                0.16535,                 1.6023,                 1.4609,                 1.1488,                  2.117,                 1.8647,                 1.1362,              0.0091585,              0.0091585,              0.0091585
