                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5204,                 2.0404,                 1.1333,                 2.1034,                 2.8307,                 1.0858,                0.12548,                0.29271,                0.12823,                0.05206,                 2.1889,                 3.8074,                 1.3386,                 2.5058,                 19.478,                 1.2335,                0.08416,                0.00016,                0.00016
                      2,                 1.3173,                0.85698,                 1.0139,                 1.9425,                 1.3211,                 1.0271,                0.37257,                0.20717,                0.21296,                0.11087,                  1.482,                 2.0695,                 1.0945,                 2.1231,                 3.3006,                 1.1258,               0.067328,             0.00032837,             0.00032837
                      3,                 1.3041,                0.80512,                 1.0041,                 1.8808,                  1.201,                 1.0179,                0.51233,                0.35219,                0.36349,                 0.1872,                 1.3267,                 1.5451,                 1.0054,                 1.9353,                 2.4876,                 1.0545,               0.050495,             0.00049505,             0.00049505
                      4,                 1.2117,                0.75909,                0.98862,                 1.7781,                 1.0841,                 1.0017,                0.59749,                0.44905,                0.45477,                0.22467,                 1.3153,                  1.129,                 1.0036,                 1.8898,                 1.3214,                 1.0326,                0.03366,             0.00066005,             0.00066005
                      5,                 1.2358,                0.76762,                 0.9877,                  1.796,                 1.0794,                 1.0147,                0.54789,                0.40918,                0.39929,                 0.1916,                  1.405,                 1.1592,                 1.0216,                 2.0379,                 1.5345,                  1.058,               0.016823,             0.00082337,             0.00082337
                      6,                 1.2371,                0.76884,                0.99734,                 1.7496,                 1.0734,                 1.0171,                0.56356,                0.46408,                0.47677,                0.25282,                 1.3052,                 1.1182,                 1.0155,                 1.8514,                   1.28,                 1.0444,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.1772,                 0.7292,                0.97868,                 1.7023,                 1.0155,                 1.0014,                0.58685,                0.45463,                0.44934,                0.23984,                 1.2824,                 1.0309,                 1.0107,                 1.8306,                 1.3898,                 1.0413,             0.00097525,             0.00097525,             0.00097525
                      8,                 1.1892,                0.71729,                0.98345,                 1.7346,                  1.016,                 1.0091,                0.61157,                0.48327,                0.49018,                0.25728,                 1.2504,                0.95888,                 0.9848,                 1.8336,                 1.2331,                 1.0192,              0.0009703,              0.0009703,              0.0009703
                      9,                 1.1655,                0.69857,                0.97086,                 1.7026,                0.96492,                0.99213,                0.69585,                0.48304,                 0.5324,                0.27469,                 1.2795,                0.89457,                 1.0148,                 1.8831,                 1.1303,                 1.0336,             0.00096535,             0.00096535,             0.00096535
                     10,                 1.1802,                0.69942,                0.96963,                 1.7434,                0.98071,                0.98856,                 0.5651,                0.51038,                0.50649,                0.26641,                 1.2035,                0.81974,                0.99518,                 1.8024,                  1.185,                 1.0111,              0.0009604,              0.0009604,              0.0009604
                     11,                 1.1562,                0.68282,                0.96567,                  1.715,                0.98769,                0.98866,                0.69465,                0.52038,                0.54796,                0.29099,                 1.2336,                 0.8569,                 1.0045,                 1.7802,                 1.1811,                 1.0156,             0.00095545,             0.00095545,             0.00095545
                     12,                 1.1245,                0.67734,                0.96579,                 1.6849,                0.96524,                0.99012,                 0.7217,                0.50166,                0.56018,                0.29982,                 1.1939,                0.79155,                0.98679,                 1.7775,                 1.0392,                 1.0227,              0.0009505,              0.0009505,              0.0009505
                     13,                 1.1324,                0.67665,                0.96023,                 1.7022,                0.96786,                0.98686,                0.72655,                  0.512,                 0.5578,                 0.2981,                 1.2014,                0.73015,                 0.9836,                 1.7788,                 1.0001,                 1.0131,             0.00094555,             0.00094555,             0.00094555
                     14,                 1.1043,                0.65899,                0.95595,                 1.6313,                0.90322,                0.98763,                0.74947,                0.52736,                0.57486,                0.30436,                 1.1701,                0.72507,                0.96857,                 1.7364,                0.97955,                0.99683,              0.0009406,              0.0009406,              0.0009406
                     15,                 1.1336,                0.66932,                0.94932,                  1.704,                0.93673,                0.97897,                0.71996,                0.50614,                 0.5577,                 0.2972,                 1.1753,                0.75523,                0.97474,                   1.77,                 1.0651,                 1.0003,             0.00093565,             0.00093565,             0.00093565
                     16,                  1.064,                0.63233,                0.94068,                 1.5909,                0.87605,                0.96446,                0.71684,                0.52228,                0.57081,                0.29981,                 1.1834,                0.70635,                0.97497,                 1.7717,                 1.0147,                0.99615,              0.0009307,              0.0009307,              0.0009307
                     17,                 1.0989,                0.63595,                0.93792,                   1.65,                0.88996,                0.96107,                0.73132,                0.53363,                0.58744,                0.30652,                 1.1761,                0.69649,                0.97131,                 1.7635,                0.94261,                0.99877,             0.00092575,             0.00092575,             0.00092575
                     18,                 1.0979,                0.64546,                0.94285,                 1.6531,                0.89672,                0.96822,                0.74873,                0.52422,                0.58353,                 0.3107,                 1.1815,                0.70584,                0.97132,                 1.7466,                0.96392,                 1.0021,              0.0009208,              0.0009208,              0.0009208
                     19,                 1.0905,                0.64903,                0.93568,                 1.6309,                0.89628,                0.95959,                 0.7471,                0.53305,                0.59204,                0.32159,                 1.1598,                0.67514,                 0.9607,                 1.7167,                0.94235,                 0.9768,             0.00091585,             0.00091585,             0.00091585
                     20,                 1.0951,                0.64317,                0.93776,                 1.6385,                0.88126,                0.96516,                0.77685,                0.52402,                0.59226,                0.32037,                 1.1694,                0.66923,                0.96424,                  1.728,                0.91225,                0.98095,              0.0009109,              0.0009109,              0.0009109
                     21,                 1.0676,                0.61941,                0.92939,                 1.6317,                 0.8635,                 0.9502,                0.76243,                 0.5364,                0.59707,                0.32238,                 1.1536,                0.68568,                  0.961,                 1.7058,                0.93183,                0.97957,             0.00090595,             0.00090595,             0.00090595
                     22,                 1.0472,                 0.6019,                0.92641,                 1.5956,                0.84264,                 0.9455,                0.72786,                0.52785,                0.59411,                0.32961,                 1.1361,                0.68098,                 0.9574,                 1.6862,                0.95422,                0.98059,               0.000901,               0.000901,               0.000901
                     23,                   1.06,                0.60978,                0.92733,                 1.5857,                0.85131,                0.94657,                0.71598,                0.55575,                0.59085,                0.32524,                  1.152,                0.71912,                0.96548,                 1.6942,                 0.9798,                0.98405,             0.00089605,             0.00089605,             0.00089605
                     24,                 1.0806,                0.61661,                0.93127,                  1.623,                0.85142,                0.95871,                0.74682,                0.50886,                 0.5625,                0.30615,                  1.145,                0.67904,                0.96172,                 1.7443,                 1.0447,                0.99264,              0.0008911,              0.0008911,              0.0008911
                     25,                  1.067,                0.60577,                0.93109,                 1.6276,                0.84885,                0.95597,                0.70097,                0.54326,                0.58648,                0.31846,                 1.1514,                0.67481,                0.96563,                 1.7018,                0.97903,                0.98905,             0.00088615,             0.00088615,             0.00088615
                     26,                 1.0978,                0.61787,                0.93563,                 1.6699,                0.87486,                0.95884,                0.75638,                0.51358,                0.57963,                0.31975,                 1.1355,                0.65817,                0.95985,                 1.6978,                0.92649,                0.98332,              0.0008812,              0.0008812,              0.0008812
                     27,                 1.0458,                0.59736,                0.91928,                 1.5966,                0.83197,                0.94658,                0.75937,                0.56591,                0.60378,                0.33586,                 1.1333,                 0.6522,                0.95601,                 1.6589,                0.87249,                 0.9806,             0.00087625,             0.00087625,             0.00087625
                     28,                 1.0471,                0.59296,                0.92766,                  1.582,                0.81836,                0.95227,                0.72087,                0.56729,                0.60553,                0.32635,                 1.1655,                 0.6587,                0.96198,                  1.688,                0.91082,                0.98236,              0.0008713,              0.0008713,              0.0008713
                     29,                 1.0548,                0.59453,                0.92488,                 1.6067,                0.81826,                0.94579,                0.74853,                0.55053,                0.60735,                 0.3205,                 1.1543,                0.64114,                0.95927,                 1.7236,                0.90608,                0.98391,             0.00086635,             0.00086635,             0.00086635
                     30,                 1.0414,                0.58224,                0.92614,                 1.6252,                0.81085,                0.95354,                0.77497,                0.53614,                0.60075,                0.32087,                 1.1408,                0.66768,                0.95468,                 1.7638,                0.89843,                0.99113,              0.0008614,              0.0008614,              0.0008614
                     31,                 1.0328,                0.58681,                0.91676,                 1.5874,                0.80699,                0.94307,                0.74724,                0.51237,                0.57339,                0.30577,                 1.1558,                0.67921,                0.96329,                 1.7501,                0.94962,                0.99219,             0.00085645,             0.00085645,             0.00085645
                     32,                 1.0223,                0.58133,                0.92642,                 1.5536,                0.80093,                0.95019,                0.76277,                0.53398,                0.59554,                0.32815,                 1.1444,                0.64987,                0.97626,                 1.6958,                 0.9112,                0.99135,              0.0008515,              0.0008515,              0.0008515
                     33,                  1.066,                0.59611,                0.92944,                 1.6225,                0.82759,                0.95823,                0.73618,                0.52998,                 0.5863,                0.31579,                 1.1578,                0.64641,                0.97367,                 1.7206,                 0.9079,                0.97849,             0.00084655,             0.00084655,             0.00084655
                     34,                 1.0596,                0.60277,                0.92434,                 1.6076,                0.83326,                0.94436,                0.76422,                0.54241,                0.60779,                0.33334,                 1.1626,                0.66018,                0.96932,                 1.7023,                0.88494,                0.98229,              0.0008416,              0.0008416,              0.0008416
                     35,                 1.0311,                0.59466,                0.91966,                 1.5714,                0.80901,                0.94604,                0.77151,                0.53981,                0.60615,                0.32643,                  1.124,                0.66206,                0.95374,                 1.6958,                0.91687,                0.98883,             0.00083665,             0.00083665,             0.00083665
                     36,                  1.014,                0.58049,                 0.9169,                 1.5188,                0.77062,                0.93739,                0.75373,                0.57023,                0.62176,                0.33942,                 1.1147,                0.62863,                0.94598,                 1.6387,                0.87173,                0.96836,              0.0008317,              0.0008317,              0.0008317
                     37,                  1.019,                0.57619,                0.91096,                 1.5514,                 0.7896,                0.93359,                0.74722,                0.55581,                 0.6128,                0.33725,                 1.1256,                0.65949,                0.94617,                 1.6534,                0.88831,                0.97349,             0.00082675,             0.00082675,             0.00082675
                     38,                  1.009,                0.56722,                0.90989,                 1.5674,                0.77906,                0.93471,                0.73336,                0.54705,                 0.6038,                0.33178,                 1.1514,                 0.6762,                 0.9625,                  1.683,                0.91731,                0.98686,              0.0008218,              0.0008218,              0.0008218
                     39,                 1.0013,                0.56767,                0.91334,                 1.5288,                  0.777,                0.93754,                0.78923,                0.54653,                0.61264,                0.34236,                 1.1298,                0.63383,                0.96334,                 1.6854,                0.88602,                0.98156,             0.00081685,             0.00081685,             0.00081685
                     40,                 1.0106,                0.56367,                0.91467,                 1.5514,                0.79168,                0.93845,                0.79535,                0.53688,                0.62047,                0.34526,                 1.1204,                0.63586,                0.96249,                 1.6759,                0.88729,                0.98361,              0.0008119,              0.0008119,              0.0008119
                     41,                 0.9727,                0.55457,                0.91333,                 1.4853,                0.76112,                0.93888,                0.77367,                0.52408,                0.59983,                0.32936,                 1.1295,                0.63834,                0.97062,                 1.6969,                0.88284,                0.98759,             0.00080695,             0.00080695,             0.00080695
