                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4789,                 2.8151,                 1.0822,                 2.1448,                 3.6379,                  1.049,                0.38618,                0.30576,                0.25998,                0.12877,                 1.4936,                 1.7603,                 1.0883,                 2.0055,                 3.0528,                 1.0556,             0.00026672,             0.00026672,             0.00026672
                      2,                 1.3353,                0.92414,                 1.0252,                 1.9136,                 1.4784,                 1.0238,                0.38785,                0.21017,                0.25023,                0.12175,                 1.5833,                 1.9533,                 1.1843,                 2.1323,                 3.1933,                 1.1488,             0.00054739,             0.00054739,             0.00054739
                      3,                 1.3252,                0.85615,                 1.0171,                 1.9188,                  1.244,                 1.0278,                0.54268,                0.44373,                0.44709,                0.22561,                 1.3378,                 1.3541,                 1.0597,                 1.8443,                 1.6969,                 1.0509,             0.00082525,             0.00082525,             0.00082525
                      4,                 1.2872,                0.83443,                 1.0239,                 1.8415,                 1.1661,                 1.0379,                0.58633,                0.47979,                0.48401,                0.24627,                 1.3681,                 1.2695,                 1.0786,                 1.9215,                 1.6296,                 1.0778,              0.0011003,              0.0011003,              0.0011003
                      5,                 1.3528,                0.85234,                 1.0391,                 1.8732,                 1.2103,                 1.0559,                0.49431,                0.41994,                0.32878,                0.16929,                 1.3995,                 1.4938,                 1.0992,                 1.9226,                 2.6532,                 1.0985,              0.0013726,              0.0013726,              0.0013726
                      6,                 1.3165,                0.86917,                 1.0391,                 1.8375,                 1.1825,                 1.0573,                0.49242,                0.38494,                0.38896,                0.18749,                 1.5992,                 2.5725,                 1.2509,                 2.0933,                 2.7619,                 1.2157,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.2947,                0.82557,                 1.0231,                 1.8207,                 1.1317,                 1.0492,                0.48617,                0.41556,                0.39707,                0.20234,                 1.4255,                 1.8023,                 1.0918,                 1.9248,                 2.6249,                 1.1119,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.2838,                0.82754,                 1.0198,                 1.8245,                   1.12,                  1.043,                0.46823,                0.36191,                 0.3357,                0.16051,                 1.5297,                 2.0795,                 1.1691,                 2.0785,                  3.182,                 1.1519,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.2551,                0.78382,                 1.0081,                 1.7955,                 1.0487,                 1.0324,                0.51499,                0.42827,                0.42004,                 0.2085,                 1.4062,                 1.8039,                 1.1041,                 1.9897,                 1.5954,                 1.1085,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.2645,                0.79547,                 1.0034,                 1.8561,                 1.0765,                 1.0227,                0.49848,                0.44374,                 0.4173,                0.21759,                 1.2862,                 1.5667,                 1.0434,                 1.9098,                 1.5672,                 1.0848,               0.001601,               0.001601,               0.001601
