                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3206,                 3.6117,                 1.6051,                 2.6539,                 5.3405,                 1.3572,                      0,                      0,                      0,                      0,                  5.321,             5.1571e+08,             6.9464e+06,                  4.549,             1.2321e+07,                  58348,                 0.0856,                 0.0016,                 0.0016
                      2,                 2.3919,                 2.0634,                  1.701,                 2.7489,                 2.5071,                 1.4471,                0.50201,                0.00039,                  5e-05,                  1e-05,                 4.2796,             8.6165e+06,             3.0203e+05,                      0,             1.7164e+06,                      0,               0.070284,              0.0032837,              0.0032837
                      3,                 2.1293,                 1.7002,                 1.5228,                 2.6254,                 2.1778,                 1.3893,                  3e-05,                0.00039,                  2e-05,                  1e-05,                 5.2628,              1.366e+07,             1.0149e+06,                      0,                      0,                      0,                0.05495,              0.0049505,              0.0049505
                      4,                 1.9838,                 1.5826,                  1.461,                  2.469,                 2.0791,                 1.3455,                  3e-05,                0.00039,                  2e-05,                  1e-05,                 4.2441,             1.5161e+05,             3.0564e+05,                      0,                 1627.5,                      0,               0.039601,              0.0066005,              0.0066005
                      5,                 1.9055,                 1.5337,                 1.4305,                 2.4224,                 2.0286,                 1.3472,                  3e-05,                0.00039,                  2e-05,                  1e-05,                      0,                      0,                      0,                      0,                      0,                      0,               0.024234,              0.0082337,              0.0082337
                      6,                 1.8831,                 1.4256,                 1.3875,                 2.3582,                 1.8797,                  1.312,                  3e-05,                0.00039,                  2e-05,                  1e-05,                 3.4177,                 14.886,                 3.3337,                 1.9193,                 9.5704,                0.82589,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7864,                 1.3605,                 1.3588,                 2.2981,                  1.826,                 1.3098,                 0.1964,                0.17039,                0.11827,                0.04928,                 2.3819,                 10.262,                 2.5316,                 2.7575,                 5.6101,                 1.9666,              0.0097525,              0.0097525,              0.0097525
                      8,                  1.722,                 1.2882,                 1.3199,                 2.2827,                 1.7281,                 1.2818,                 0.2746,                0.18274,                0.14606,                0.06527,                 1.9558,                 5.5827,                 1.7977,                 2.6245,                 5.4775,                 1.8284,               0.009703,               0.009703,               0.009703
                      9,                 1.7006,                 1.2267,                 1.2905,                 2.2759,                 1.6714,                 1.2453,                0.30746,                0.28217,                0.23027,                0.10667,                 1.7674,                 3.8031,                 1.5751,                 2.3842,                 2.9447,                 1.5367,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.6594,                 1.2013,                 1.2689,                 2.2206,                 1.6465,                 1.2305,                0.40626,                0.28784,                0.26186,                 0.1216,                 1.6909,                 4.2243,                 1.4389,                 2.3696,                 4.4123,                 1.4747,               0.009604,               0.009604,               0.009604
