                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5453,                 2.2983,                 1.1386,                 2.1722,                 3.0122,                 1.1012,                0.18067,                 0.0613,                0.06811,                0.02598,                 3.1071,                 14.782,                 1.8624,                 3.2869,                 7.9521,                 1.6657,                0.08416,                0.00016,                0.00016
                      2,                 1.3902,                0.94765,                  1.057,                 2.0005,                 1.4609,                  1.045,                0.56025,                 0.1748,                0.23556,                0.11882,                 1.6371,                 2.8355,                 1.1416,                 2.2693,                 6.1329,                 1.1638,               0.067328,             0.00032837,             0.00032837
                      3,                 1.3806,                0.88889,                 1.0453,                 1.9624,                 1.3155,                 1.0356,                 0.4957,                0.35713,                0.34495,                0.18131,                 1.3618,                 1.4969,                 1.0269,                 1.9475,                 3.0456,                  1.062,               0.050495,             0.00049505,             0.00049505
                      4,                 1.3242,                0.88032,                 1.0391,                 1.8874,                 1.2664,                 1.0351,                0.52607,                0.40241,                0.41501,                0.21441,                 1.3079,                 1.2768,                  1.012,                 1.9177,                 2.5291,                 1.0248,                0.03366,             0.00066005,             0.00066005
                      5,                 1.3452,                0.87874,                 1.0398,                 1.8996,                 1.2699,                 1.0429,                0.45051,                0.38435,                0.32299,                0.15598,                 1.3713,                  1.487,                 1.0379,                 1.9493,                 2.8104,                  1.044,               0.016823,             0.00082337,             0.00082337
                      6,                 1.3068,                0.86249,                 1.0277,                  1.844,                 1.2405,                 1.0354,                0.36478,                0.40782,                0.29301,                0.14356,                 1.3303,                 2.0442,                 1.0318,                 1.9244,                 2.6959,                 1.0556,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.2772,                0.83904,                 1.0331,                 1.8071,                 1.1934,                 1.0387,                0.64075,                0.41847,                 0.4659,                0.23831,                  1.324,                  1.057,                 1.0424,                 1.9189,                 1.3742,                 1.0607,             0.00097525,             0.00097525,             0.00097525
                      8,                 1.2757,                0.83427,                 1.0299,                 1.8373,                  1.182,                  1.036,                0.61461,                0.47106,                0.49226,                0.25037,                 1.2974,                 1.0498,                 1.0033,                 1.8691,                 1.3932,                 1.0164,              0.0009703,              0.0009703,              0.0009703
                      9,                  1.282,                0.80431,                 1.0204,                 1.8565,                 1.1285,                 1.0277,                0.67257,                0.48627,                0.52527,                0.27594,                 1.2525,                 1.0214,                0.98286,                 1.8109,                 1.2852,                 1.0096,             0.00096535,             0.00096535,             0.00096535
                     10,                 1.2634,                0.80212,                 1.0004,                 1.8384,                 1.1036,                  1.018,                0.71013,                 0.4863,                0.54419,                 0.2885,                 1.2325,                0.83529,                0.97822,                 1.8005,                  1.125,                 1.0017,              0.0009604,              0.0009604,              0.0009604
                     11,                 1.2413,                0.77475,                0.99791,                 1.8398,                 1.0961,                 1.0162,                0.65396,                0.47427,                0.50578,                0.26192,                 1.2663,                0.84647,                 0.9973,                 1.8255,                 1.1933,                 1.0132,             0.00095545,             0.00095545,             0.00095545
                     12,                 1.2689,                0.79449,                 1.0133,                 1.8389,                 1.1037,                 1.0253,                0.68565,                0.49871,                0.54034,                0.28153,                 1.2333,                0.79798,                0.99896,                 1.7955,                 1.0443,                 1.0038,              0.0009505,              0.0009505,              0.0009505
                     13,                 1.2084,                0.75051,                 0.9924,                 1.7719,                 1.0575,                 1.0061,                0.69873,                0.50143,                0.55284,                0.29534,                 1.2262,                0.75941,                0.99432,                 1.7768,                 1.0327,                  1.008,             0.00094555,             0.00094555,             0.00094555
                     14,                 1.2324,                0.76301,                0.99743,                 1.8078,                 1.0772,                 1.0035,                0.66519,                0.48624,                0.53447,                0.28667,                 1.2218,                0.76571,                0.97916,                 1.7835,                 1.0709,                0.98484,              0.0009406,              0.0009406,              0.0009406
