                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6151,                 2.9531,                 1.0938,                 2.1988,                 4.5582,                 1.0642,                0.41957,                 0.1465,                0.11239,                0.05092,                 1.3918,                 1.9582,                 1.0274,                 1.8918,                 4.7692,                 1.0242,                0.08416,                0.00016,                0.00016
                      2,                 1.4735,                 1.0897,                 1.0511,                 2.0356,                 1.7374,                 1.0299,                0.75062,                 0.1918,                0.29471,                0.14203,                 1.4919,                 3.6336,                  1.084,                 2.0359,                 9.1015,                 1.0677,               0.067328,             0.00032837,             0.00032837
                      3,                 1.5904,                 1.2313,                 1.1382,                 2.1131,                    1.7,                 1.0969,                0.32859,                 0.3305,                0.24387,                0.11917,                 1.6028,                 2.9659,                 1.1599,                 2.1239,                 2.2994,                 1.1392,               0.050495,             0.00049505,             0.00049505
                      4,                 1.6174,                 1.1952,                 1.1175,                 2.0405,                 1.4559,                 1.0846,                0.33637,                0.29422,                0.25957,                0.11583,                 1.6013,                 1.3756,                 1.1496,                   2.15,                 2.2418,                 1.1317,                0.03366,             0.00066005,             0.00066005
                      5,                 1.5266,                  1.121,                 1.0857,                 1.9876,                 1.5615,                 1.0778,                0.40634,                 0.2975,                0.26019,                0.11837,                 1.7694,                 2.0851,                   1.25,                 2.1521,                 2.7143,                 1.1679,               0.016823,             0.00082337,             0.00082337
                      6,                 1.6441,                 1.4313,                 1.1731,                 2.0653,                 1.9501,                 1.1446,                0.46648,                 0.4231,                0.41102,                0.19325,                 1.6802,                 2.4827,                 1.2101,                  2.219,                 3.0939,                 1.2693,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.4781,                 1.1104,                 1.0964,                  1.976,                 1.5438,                 1.1158,                0.52033,                 0.3754,                0.36844,                0.17324,                 1.6422,                 2.0861,                 1.2177,                 2.2213,                 2.2751,                 1.1917,             0.00097525,             0.00097525,             0.00097525
                      8,                 1.7386,                 1.2383,                 1.1984,                 2.1357,                 1.6323,                 1.1746,                0.33285,                0.17094,                0.15726,                0.06164,                 2.1418,                 2.4447,                 1.3701,                  2.892,                 3.4357,                 1.4913,              0.0009703,              0.0009703,              0.0009703
                      9,                 1.5612,                 1.1309,                 1.1159,                  1.994,                 1.4322,                 1.1029,                0.49868,                0.32731,                0.32645,                0.15566,                  1.555,                  2.182,                 1.1029,                   2.17,                 1.9888,                 1.1397,             0.00096535,             0.00096535,             0.00096535
                     10,                 1.5067,                0.94423,                 1.0661,                 2.0317,                 1.2457,                 1.0638,                0.42114,                0.34585,                0.32436,                0.17103,                 1.4283,                 1.0769,                 1.0574,                 2.1585,                 1.3404,                  1.104,              0.0009604,              0.0009604,              0.0009604
                     11,                 1.4551,                0.87975,                 1.0706,                 1.9624,                 1.2238,                 1.0747,                0.67594,                0.45502,                0.50539,                0.27116,                 1.3059,                 1.1601,                 1.0078,                 1.8478,                 1.1868,                 1.0353,             0.00095545,             0.00095545,             0.00095545
                     12,                 1.4237,                0.86208,                 1.0573,                 1.9361,                 1.1858,                 1.0629,                0.60816,                0.43696,                0.46346,                0.24199,                 1.3811,                 1.1952,                 1.0444,                 1.9071,                 1.6113,                 1.0592,              0.0009505,              0.0009505,              0.0009505
