                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6284,                 2.7927,                 1.1527,                 2.2305,                 4.4694,                 1.1298,                0.22335,                0.20332,                0.13725,                0.06562,                 1.6091,                 3.3813,                 1.1631,                 2.0785,                 6.3927,                 1.1094,                0.08416,                0.00016,                0.00016
                      2,                    1.5,                 1.1385,                 1.0983,                 2.0603,                 1.6827,                 1.0888,                0.30773,                0.24007,                0.19735,                0.08836,                 1.5774,                 2.3055,                 1.1109,                 2.1999,                 7.1134,                 1.1631,               0.067328,             0.00032837,             0.00032837
                      3,                 1.6283,                 1.1351,                  1.128,                 2.1387,                  1.627,                 1.1145,                0.31212,                0.24833,                0.20321,                0.09327,                 1.6983,                 5.6975,                 1.1682,                 2.2172,                 6.7057,                 1.1775,               0.050495,             0.00049505,             0.00049505
                      4,                 1.4835,                 1.2301,                 1.0883,                 1.9843,                  1.717,                 1.0829,                0.44748,                0.46428,                0.42488,                0.19461,                 1.5778,                  1.412,                 1.1194,                 1.9767,                 2.4587,                 1.0882,                0.03366,             0.00066005,             0.00066005
                      5,                  1.779,                 1.5166,                 1.2457,                 2.1552,                 1.7896,                  1.185,                0.37567,                0.32613,                0.29446,                0.13902,                 1.7605,                 2.5495,                  1.327,                 2.2251,                 2.3857,                 1.2447,               0.016823,             0.00082337,             0.00082337
                      6,                 1.8057,                 1.3453,                 1.2251,                 2.1977,                 1.7001,                 1.1775,                0.51857,                0.32426,                0.32783,                0.15558,                 1.6743,                 2.4014,                 1.2858,                 2.1609,                 3.4406,                 1.2227,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.6974,                 1.3228,                 1.2115,                 2.1331,                 1.7516,                 1.1902,                0.56041,                0.41403,                0.41878,                0.20473,                 1.3888,                 2.1398,                 1.0821,                 1.9813,                 1.9211,                 1.0988,             0.00097525,             0.00097525,             0.00097525
                      8,                 1.3993,                   1.01,                 1.0787,                 1.9158,                 1.5045,                 1.0847,                0.57203,                0.42779,                0.44815,                0.21067,                 1.5558,                  1.118,                 1.0918,                 2.1213,                 1.3263,                 1.0992,              0.0009703,              0.0009703,              0.0009703
                      9,                 1.6187,                  1.078,                 1.1361,                 2.1315,                 1.4351,                 1.1283,                0.71316,                0.46432,                0.51147,                 0.2419,                 1.5134,                 1.0943,                 1.1068,                 2.0539,                 1.2227,                 1.1073,             0.00096535,             0.00096535,             0.00096535
                     10,                 1.5841,                 1.0361,                 1.1193,                  2.108,                 1.4285,                 1.1188,                0.40578,                0.31935,                  0.303,                0.16251,                 1.4493,                 1.1755,                  1.106,                 2.1324,                 1.7311,                 1.1345,              0.0009604,              0.0009604,              0.0009604
                     11,                 1.5211,                0.97997,                 1.1011,                 2.0682,                 1.4118,                 1.1014,                 0.6775,                0.43385,                0.48128,                0.24643,                 1.4219,                 1.0051,                 1.0683,                 1.9734,                 1.2519,                 1.0684,             0.00095545,             0.00095545,             0.00095545
                     12,                 1.5348,                0.95727,                 1.1144,                 2.0699,                 1.3513,                 1.1137,                0.62256,                0.45732,                0.47665,                0.21469,                 1.4328,                0.87759,                 1.0629,                 2.0146,                 1.2077,                 1.0869,              0.0009505,              0.0009505,              0.0009505
                     13,                 1.4506,                0.88016,                  1.072,                 2.0033,                 1.2552,                 1.0859,                0.64444,                0.47894,                0.49535,                0.24867,                 1.3297,                0.84408,                 1.0273,                 1.9296,                 1.2124,                 1.0611,             0.00094555,             0.00094555,             0.00094555
                     14,                 1.4398,                0.90132,                 1.0671,                 1.9781,                 1.2423,                 1.0702,                0.65595,                0.52152,                0.55952,                0.27872,                  1.324,                0.79546,                 1.0365,                 1.8861,                 1.0538,                 1.0383,              0.0009406,              0.0009406,              0.0009406
                     15,                 1.4137,                0.86044,                 1.0629,                 1.9273,                 1.2042,                 1.0649,                0.63924,                0.48441,                0.51901,                0.26632,                 1.3301,                0.83242,                 1.0442,                 1.9164,                 1.1465,                 1.0543,             0.00093565,             0.00093565,             0.00093565
                     16,                 1.3782,                0.87683,                 1.0645,                 1.9225,                 1.2406,                 1.0758,                0.56995,                0.48141,                 0.4926,                0.25521,                 1.2953,                 0.9355,                 1.0028,                 1.8772,                 1.3158,                 1.0409,              0.0009307,              0.0009307,              0.0009307
                     17,                 1.3419,                0.83195,                 1.0391,                 1.8999,                 1.1926,                 1.0553,                0.72709,                0.46777,                0.52411,                0.28261,                 1.2704,                 0.7754,                  1.001,                 1.8472,                 1.1207,                 1.0354,             0.00092575,             0.00092575,             0.00092575
                     18,                 1.3082,                0.84363,                 1.0252,                 1.8368,                 1.1652,                  1.038,                0.73298,                0.52101,                0.57113,                0.30173,                 1.2091,                 0.7692,                0.99696,                 1.7647,                 1.0084,                 1.0194,              0.0009208,              0.0009208,              0.0009208
                     19,                 1.3242,                0.79415,                 1.0307,                 1.8682,                 1.1174,                 1.0447,                 0.6383,                0.44711,                0.50197,                0.25652,                 1.3166,                0.83994,                 1.0442,                 1.8799,                 1.1827,                 1.0468,             0.00091585,             0.00091585,             0.00091585
                     20,                 1.3488,                0.80911,                 1.0324,                 1.8967,                 1.1534,                 1.0432,                0.68514,                0.50368,                0.55425,                0.27658,                 1.2913,                0.75336,                   1.01,                 1.8649,                 1.0284,                 1.0209,              0.0009109,              0.0009109,              0.0009109
