                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.538,                 2.9663,                 1.1149,                 2.0939,                 3.4021,                 1.0691,                0.26716,                0.34812,                 0.2266,                0.10544,                 1.2135,                 1.9721,                 1.0019,                 1.8921,                 4.1961,                 1.0472,                 0.0856,                 0.0016,                 0.0016
                      2,                 1.2932,                0.94748,                 1.0119,                 1.9184,                 1.5128,                  1.022,                0.50329,                0.37204,                0.38843,                0.21977,                 1.1645,                 1.1879,                0.96701,                 1.7913,                 1.6227,                0.98815,               0.070284,              0.0032837,              0.0032837
                      3,                 1.2615,                0.94787,                0.98484,                 1.8677,                 1.2665,                0.99955,                0.52243,                0.42843,                0.43169,                0.22468,                 1.2604,                 1.1228,                0.97535,                 1.8671,                 1.7982,                0.99358,                0.05495,              0.0049505,              0.0049505
                      4,                  1.224,                0.86398,                0.97736,                 1.7647,                  1.355,                0.99384,                0.62081,                0.43225,                0.47341,                0.22216,                 1.5311,                 1.0473,                 1.0201,                 1.9481,                 1.3156,                  1.012,               0.039601,              0.0066005,              0.0066005
                      5,                 1.3182,                0.92482,                0.98513,                 1.8233,                 1.2468,                0.99928,                0.54195,                0.48064,                0.51809,                0.27309,                 1.2097,                  1.248,                0.95477,                  1.839,                  1.351,                0.98844,               0.024234,              0.0082337,              0.0082337
                      6,                 1.2578,                0.97419,                0.97842,                 1.7578,                 1.1985,                0.99572,                0.63413,                0.49731,                0.53038,                0.26813,                 1.3569,                 1.5282,                0.99664,                 1.8779,                 1.5739,                 1.0049,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2617,                0.93133,                0.97788,                  1.733,                 1.2703,                0.98692,                 0.7082,                0.48436,                0.53853,                0.29572,                 1.2536,                0.86333,                0.95856,                 1.7593,                 1.2657,                0.98696,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.3352,                0.82434,                0.99027,                 1.8543,                  1.093,                 1.0054,                0.64277,                0.50498,                0.54598,                0.27996,                 1.2274,                 1.7953,                0.97298,                 1.8282,                 2.0023,                 1.0062,               0.009703,               0.009703,               0.009703
                      9,                 1.2055,                0.76399,                0.96806,                 1.6954,                 1.0917,                 0.9805,                0.63454,                0.52702,                0.56163,                0.29434,                 1.1862,                 1.4739,                 0.9573,                 1.7755,                  1.541,                0.98992,              0.0096535,              0.0096535,              0.0096535
                     10,                  1.246,                 0.7547,                0.97151,                 1.8014,                 1.0053,                0.99155,                0.65537,                0.53404,                0.55457,                0.28479,                 1.2557,                0.89664,                0.97194,                 1.8298,                 1.1917,                 1.0052,               0.009604,               0.009604,               0.009604
