                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5867,                 2.1099,                 1.1899,                 2.1858,                 3.3812,                 1.1333,                0.45103,                 0.3805,                0.29059,                0.16486,                 1.3238,                 1.5877,                 1.0098,                 1.9177,                 3.0223,                  1.036,                 0.0856,                 0.0016,                 0.0016
                      2,                 1.3176,                0.96293,                 1.0456,                 1.9511,                  1.522,                 1.0498,                0.58521,                0.40085,                0.39566,                0.22933,                 1.1793,                0.93708,                0.94639,                 1.7681,                 2.7496,                0.97522,               0.070284,              0.0032837,              0.0032837
                      3,                  1.306,                0.92901,                 1.0203,                 1.8953,                 1.3914,                 1.0305,                0.64715,                0.41054,                0.50146,                0.28579,                 1.1556,                0.93779,                0.93853,                 1.7113,                 1.7924,                0.96253,                0.05495,              0.0049505,              0.0049505
                      4,                 1.2939,                0.94759,                 1.0126,                 1.8502,                 1.3995,                 1.0188,                0.65878,                0.45633,                0.53437,                  0.295,                 1.1365,                0.78502,                0.93638,                 1.7145,                 1.1389,                 0.9515,               0.039601,              0.0066005,              0.0066005
                      5,                 1.3011,                 1.0171,                 1.0131,                 1.8161,                 1.3921,                 1.0241,                0.67771,                0.47988,                 0.5445,                0.28856,                 1.1574,                0.97439,                0.92455,                 1.7641,                 1.4297,                0.95974,               0.024234,              0.0082337,              0.0082337
                      6,                 1.3505,                 1.1278,                 1.0084,                 1.8182,                 1.2572,                 1.0096,                0.69307,                0.46969,                0.53412,                 0.2723,                   1.37,                 1.5058,                  1.004,                 1.8558,                 1.1236,                0.99333,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.3743,                 1.0494,                 1.0371,                 1.8646,                 1.2395,                 1.0333,                0.76497,                0.47172,                0.55033,                0.28912,                 1.3115,                0.92113,                0.98334,                 1.8552,                 1.1817,                 1.0175,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.3093,                0.88869,                 1.0092,                 1.8698,                 1.2585,                 1.0242,                0.71349,                0.51104,                 0.5555,                0.27347,                 1.3259,                 1.1444,                0.99804,                 1.9091,                 1.0557,                 1.0215,               0.009703,               0.009703,               0.009703
                      9,                 1.3602,                  0.865,                 1.0232,                 1.9392,                 1.1555,                 1.0343,                0.69812,                0.50261,                0.55358,                 0.2836,                 1.2543,                0.99909,                0.97533,                 1.8492,                 1.3741,                0.99559,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.2856,                0.81756,                0.99978,                 1.8746,                 1.1913,                 1.0169,                0.61639,                0.51126,                0.53416,                0.25163,                 1.2867,                0.83115,                0.98337,                 1.9612,                 1.2141,                 1.0063,               0.009604,               0.009604,               0.009604
                     11,                  1.314,                0.78436,                 1.0012,                 1.8905,                 1.0897,                 1.0138,                0.73251,                0.50307,                0.56249,                0.29203,                 1.3003,                0.82672,                0.99628,                 1.7818,                0.98524,                0.99167,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.3008,                0.77809,                 1.0087,                 1.8454,                 1.1249,                 1.0162,                0.65517,                  0.502,                0.54207,                0.26474,                  1.298,                0.76509,                0.99269,                 1.8505,                 1.0509,                  1.005,               0.009505,               0.009505,               0.009505
