                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7349,                 4.3077,                  4.295,                 4.5525,                 6.5022,                 4.3094,                0.00011,                0.00232,                0.00014,                  6e-05,                 4.6135,                 4.0781,                 4.0983,                 4.5777,                 5.8516,                 4.1102,                 0.0703,                 0.0033,                 0.0033
                      2,                 4.5406,                 3.8333,                 4.0532,                 4.1749,                 4.7964,                 3.9481,                0.00356,                 0.0541,                0.00377,                0.00111,                 3.8541,                 3.6898,                 3.9323,                 3.5124,                  4.277,                 3.7998,               0.040234,              0.0065677,              0.0065677
                      3,                 4.0562,                 3.4921,                 3.8197,                 3.7136,                 4.0622,                 3.5597,                0.00379,                0.07651,                0.00314,                0.00097,                 3.8095,                 4.3502,                  3.844,                 3.5808,                 4.2783,                 3.7968,               0.010103,              0.0097693,              0.0097693
                      4,                 3.6713,                 3.2242,                 3.4757,                 3.3928,                 3.6282,                 3.0706,                0.00488,                0.10781,                0.00498,                0.00164,                  3.668,                   3.91,                 3.5033,                  3.255,                 3.9555,                 3.2464,               0.009703,               0.009703,               0.009703
                      5,                 3.5173,                 3.0399,                 3.2346,                 3.3214,                  3.464,                  2.801,                0.51305,                0.02859,                0.00511,                0.00149,                 3.6049,                 9.4244,                 3.4128,                 3.3754,                 7.8575,                 2.9754,               0.009703,               0.009703,               0.009703
                      6,                 3.4091,                 2.8877,                 2.9692,                 3.2999,                  3.289,                 2.5161,                  0.091,                0.02999,                0.01411,                0.00398,                 3.2773,                 3.2972,                 3.0613,                 3.1745,                 3.5694,                  2.563,               0.009604,               0.009604,               0.009604
                      7,                 3.3025,                 2.7929,                 2.8054,                 3.2125,                 3.1884,                 2.3541,                0.04315,                0.03014,                0.01536,                0.00503,                 3.2558,                 3.2624,                 2.8685,                 3.2465,                 3.8349,                  2.469,               0.009505,               0.009505,               0.009505
                      8,                 3.1207,                 2.6801,                 2.6673,                 3.1391,                 3.1196,                 2.2327,                0.56738,                0.04289,                 0.0327,                0.01228,                 3.0703,                 2.9021,                  2.673,                 3.0783,                  3.341,                 2.2113,               0.009406,               0.009406,               0.009406
                      9,                 3.0754,                 2.5378,                 2.4856,                 3.1709,                  3.006,                  2.057,                0.13924,                0.09237,                0.04673,                0.01596,                 2.9114,                 2.8186,                 2.4233,                 2.9323,                 3.2832,                 1.9962,               0.009307,               0.009307,               0.009307
                     10,                 2.9307,                  2.459,                 2.3944,                 3.0545,                 2.9627,                 2.0138,                0.12162,                0.09966,                0.04559,                0.01486,                 2.8862,                 3.3975,                 2.3657,                 2.9925,                 3.7214,                 1.9923,               0.009208,               0.009208,               0.009208
                     11,                 2.8375,                 2.3534,                 2.3141,                 2.9645,                 2.8799,                 1.9304,                0.21379,                0.11316,                0.07036,                0.02528,                  2.695,                 2.7824,                 2.2678,                  2.853,                 3.2757,                 1.8579,               0.009109,               0.009109,               0.009109
                     12,                 2.7282,                 2.2724,                 2.2304,                 2.9278,                 2.8138,                  1.876,                0.20083,                0.09082,                0.07217,                 0.0282,                 2.6207,                 2.3257,                 2.1929,                 2.8417,                 2.8667,                 1.8335,                0.00901,                0.00901,                0.00901
