                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7619,                 4.3433,                  4.292,                 4.5707,                 6.6381,                 4.3036,                0.00011,                0.00232,                0.00028,                 0.0001,                 4.6185,                 4.0895,                 4.1028,                 4.5811,                 5.8732,                   4.11,                 0.0703,                 0.0033,                 0.0033
                      2,                 4.5408,                 3.8539,                 4.0562,                 4.1668,                 4.8566,                 3.9587,                0.00336,                0.05603,                0.00255,                0.00079,                 3.9348,                 3.7799,                 4.0176,                 3.5518,                 4.4487,                 3.8986,               0.040234,              0.0065677,              0.0065677
                      3,                 4.1134,                  3.533,                 3.8281,                  3.695,                  4.155,                 3.5688,                0.00574,                0.01198,                0.00304,                0.00073,                 3.9061,                 6.4724,                 3.9511,                 3.6103,                 6.3481,                 3.9882,               0.010103,              0.0097693,              0.0097693
                      4,                 3.6782,                 3.2426,                  3.496,                 3.3723,                 3.6561,                 3.0775,                0.51085,                0.01662,                0.00311,                0.00114,                 3.7437,                 6.1962,                  3.685,                 3.3882,                 4.9928,                 3.6769,               0.009703,               0.009703,               0.009703
                      5,                 3.5112,                 3.0504,                 3.2466,                  3.308,                 3.4774,                 2.8041,                 0.5182,                0.02125,                0.00732,                0.00229,                 3.4953,                 4.1085,                 3.3402,                 3.1432,                  4.648,                 3.2998,               0.009703,               0.009703,               0.009703
                      6,                 3.3516,                 2.9104,                 2.9685,                  3.204,                  3.321,                 2.5225,                0.04551,                0.02898,                0.01328,                0.00321,                 3.3957,                 3.3877,                 2.9348,                 3.3239,                 3.7425,                 2.4971,               0.009604,               0.009604,               0.009604
                      7,                 3.2628,                 2.7793,                 2.7892,                 3.1875,                 3.1995,                 2.3498,                0.04383,                0.04363,                0.01176,                0.00371,                 3.0742,                 3.0858,                 2.7415,                 3.0779,                 3.6103,                 2.3511,               0.009505,               0.009505,               0.009505
                      8,                 3.0762,                 2.6836,                 2.6439,                 3.0956,                  3.152,                 2.2349,                0.16297,                0.04158,                0.03453,                0.01297,                 3.0098,                 2.6832,                 2.6191,                 3.0075,                 3.1585,                 2.2036,               0.009406,               0.009406,               0.009406
                      9,                  3.022,                 2.5261,                 2.4525,                 3.1558,                 3.0124,                 2.0612,                0.14561,                0.08186,                0.04421,                0.01564,                 2.8396,                 2.8024,                 2.3933,                 2.9487,                  3.306,                 2.0182,               0.009307,               0.009307,               0.009307
                     10,                 2.8647,                 2.4662,                 2.3663,                 3.0433,                 3.0117,                 2.0167,                0.15722,                0.09414,                0.05288,                0.02118,                 2.7144,                 2.7313,                 2.2859,                 2.8636,                 3.3339,                 1.9239,               0.009208,               0.009208,               0.009208
                     11,                 2.8086,                 2.3469,                 2.2869,                 2.9657,                  2.911,                 1.9307,                0.21859,                0.09321,                0.05883,                0.02354,                 2.6951,                 2.6463,                 2.2652,                 2.8248,                 3.1635,                 1.8877,               0.009109,               0.009109,               0.009109
                     12,                 2.7074,                 2.2606,                 2.2077,                 2.9161,                 2.8659,                 1.8837,                0.22164,                0.11066,                0.07698,                0.02934,                 2.5395,                 2.3116,                 2.1025,                 2.7819,                 2.9156,                 1.8155,                0.00901,                0.00901,                0.00901
                     13,                 2.6198,                  2.156,                 2.0997,                 2.8746,                 2.7767,                 1.8033,                0.21795,                 0.1207,                0.08962,                0.03639,                 2.4746,                 2.1381,                 2.0296,                 2.6872,                  2.734,                 1.7193,               0.008911,               0.008911,               0.008911
                     14,                 2.5672,                 2.0813,                 2.0134,                 2.7998,                 2.6851,                 1.7342,                 0.1969,                0.17745,                 0.1111,                0.04101,                 2.4328,                 2.1156,                 1.9666,                 2.6862,                  3.021,                 1.7021,               0.008812,               0.008812,               0.008812
                     15,                 2.5056,                 2.0651,                 1.9782,                 2.7703,                 2.6797,                 1.7127,                0.24405,                0.12713,                0.09183,                0.03532,                 2.5226,                 2.1831,                 1.9842,                 2.7552,                 2.7876,                  1.702,               0.008713,               0.008713,               0.008713
                     16,                 2.4207,                 1.9924,                 1.9338,                 2.7114,                 2.5797,                 1.6777,                0.23356,                0.15405,                 0.1053,                0.04271,                 2.3729,                 2.0997,                 1.8849,                 2.6622,                 2.7331,                 1.6551,               0.008614,               0.008614,               0.008614
                     17,                 2.4285,                 1.9618,                 1.8961,                 2.6931,                 2.5383,                   1.65,                0.23254,                0.18226,                0.11744,                0.04477,                  2.314,                 1.9208,                 1.8547,                 2.5937,                 2.5021,                 1.6143,               0.008515,               0.008515,               0.008515
                     18,                 2.3655,                 1.8395,                  1.788,                 2.7014,                 2.3836,                  1.562,                 0.3021,                0.19364,                0.15358,                0.06509,                 2.2879,                 1.8257,                 1.8148,                 2.5155,                 2.3768,                  1.562,               0.008416,               0.008416,               0.008416
                     19,                 2.3022,                 1.7949,                 1.7649,                 2.6576,                 2.3533,                 1.5455,                0.33055,                0.22584,                0.17568,                0.07184,                 2.2082,                 1.7292,                 1.7465,                 2.4634,                 2.2508,                 1.5229,               0.008317,               0.008317,               0.008317
