                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6245,                 3.6164,                  1.184,                 2.1054,                 4.0619,                 1.1258,                0.00259,                0.05951,                0.01279,                0.00813,                 1.4584,                 3.5113,                 1.0051,                  2.039,                 4.0896,                  1.019,                 0.0928,                 0.0008,                 0.0008
                      2,                 1.5487,                 3.0073,                  1.093,                 1.9847,                  3.572,                 1.0573,                0.00372,                0.08617,                0.02401,                0.01459,                 1.4499,                 3.2852,                0.99024,                 2.0257,                 3.9636,                 1.0074,               0.084692,              0.0016916,              0.0016916
                      3,                 1.5897,                 2.0296,                 1.0587,                 2.0094,                 2.6803,                 1.0216,                0.00435,                0.10085,                0.03922,                0.02611,                  1.686,                  3.129,                 1.0459,                  2.287,                 3.8725,                  1.041,               0.076574,              0.0025743,              0.0025743
                      4,                 1.5172,                  1.461,                 1.0351,                 1.9851,                 2.2103,                 1.0089,                0.00452,                0.10471,                0.03408,                 0.0225,                 1.3708,                 3.0141,                0.96884,                 1.9094,                 3.8405,                0.97494,               0.068448,               0.003448,               0.003448
                      5,                 1.4159,                 1.2212,                 1.0356,                 1.9403,                 2.0374,                 1.0179,                0.00542,                0.12558,                0.05267,                0.03632,                 1.4826,                 2.9745,                0.98999,                 2.1489,                 3.8032,                 1.0091,               0.060313,              0.0043129,              0.0043129
                      6,                 1.3987,                 1.1438,                  1.016,                 1.9712,                  1.893,                 1.0043,                0.00608,                0.14065,                0.07259,                0.05353,                 1.4118,                 2.9771,                 1.0096,                  1.898,                 3.7347,                 1.0054,               0.052169,              0.0051688,              0.0051688
                      7,                 1.4084,                 1.1153,                 1.0377,                 1.9135,                 1.8148,                 1.0089,                 0.0068,                0.15417,                0.10213,                0.07402,                  1.511,                 2.9145,                 1.0077,                 1.9884,                 3.6343,                 1.0029,               0.044016,              0.0060159,              0.0060159
                      8,                 1.4002,                 1.0732,                 1.0333,                 1.9094,                 1.6936,                 1.0052,                0.00827,                0.18238,                0.13531,                0.09684,                 1.4603,                 2.7828,                 1.0101,                 1.9401,                 3.3874,                 1.0106,               0.035854,               0.006854,               0.006854
                      9,                 1.4227,                 1.0667,                 1.0352,                  1.955,                 1.6634,                 1.0134,                0.95954,                0.08338,                0.19177,                0.12226,                 1.5227,                 2.4876,                 1.0576,                 1.9751,                 3.1184,                 1.0152,               0.027683,              0.0076832,              0.0076832
                     10,                 1.4345,                 1.0648,                 1.0348,                 2.0059,                 1.6252,                   1.01,                0.04501,                 0.5313,                0.32656,                0.16371,                 1.5051,                 2.2608,                 1.0863,                 1.9906,                 2.8534,                 1.0484,               0.019504,              0.0085035,              0.0085035
                     11,                 1.4573,                  1.051,                  1.049,                 1.9438,                 1.5892,                 1.0146,                0.04377,                0.45427,                0.25622,                0.12864,                 1.6783,                 2.2741,                 1.2081,                 2.0996,                 2.9488,                 1.1248,               0.011315,              0.0093149,              0.0093149
                     12,                 1.4264,                 1.0506,                  1.038,                 1.9819,                 1.5713,                  1.022,                0.74149,                0.15574,                0.29445,                0.14584,                 1.6449,                 1.6247,                 1.1368,                 2.1378,                 2.2968,                 1.0834,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4566,                 1.0205,                 1.0292,                 2.0151,                 1.5017,                 1.0134,                0.55566,                0.19926,                0.28443,                0.14098,                 1.7238,                 1.7069,                 1.2081,                 2.1076,                    2.2,                 1.1213,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.3989,                0.99728,                  1.036,                 1.9526,                 1.4858,                 1.0257,                0.50884,                0.31208,                0.31192,                0.15467,                 1.6396,                 1.4696,                 1.1835,                 2.0649,                 2.0322,                 1.1017,               0.009406,               0.009406,               0.009406
                     15,                 1.3833,                0.96614,                 1.0165,                  1.957,                  1.411,                 1.0088,                0.45483,                0.39103,                0.34742,                0.16554,                 1.5818,                 1.2364,                  1.153,                 2.0761,                 1.7869,                 1.0785,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4022,                0.95776,                 1.0187,                 1.9705,                 1.3946,                 1.0072,                0.47397,                0.34785,                 0.3315,                0.15875,                 1.5405,                 1.4806,                 1.1458,                 2.1107,                 1.9003,                 1.1187,               0.009307,               0.009307,               0.009307
                     17,                 1.3556,                0.93689,                 1.0079,                 1.8898,                 1.3829,                 1.0008,                0.52318,                0.37402,                 0.3673,                0.17713,                 1.5965,                 1.3151,                  1.123,                 2.0902,                   1.73,                 1.0891,              0.0092575,              0.0092575,              0.0092575
                     18,                  1.332,                0.91501,                0.99763,                 1.8759,                 1.3187,                0.99421,                0.45584,                0.37158,                0.32086,                0.15267,                 1.6248,                 1.5716,                 1.1535,                 2.1605,                 1.9735,                 1.1196,               0.009208,               0.009208,               0.009208
                     19,                 1.3382,                0.92621,                 1.0087,                 1.8882,                 1.3351,                0.99914,                0.55271,                0.34162,                0.33963,                0.16786,                  1.575,                 1.4375,                 1.1209,                 2.1221,                 2.1521,                  1.094,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.3109,                0.89533,                 1.0015,                 1.8674,                 1.3117,                0.99559,                0.52487,                0.40587,                0.35856,                0.18393,                 1.5059,                 1.1691,                 1.0981,                 1.9856,                 1.5787,                 1.0464,               0.009109,               0.009109,               0.009109
                     21,                 1.3161,                0.89269,                0.99857,                 1.8573,                 1.2816,                0.99252,                 0.5049,                0.32968,                0.32705,                0.16651,                 1.5735,                   1.36,                 1.1562,                 2.1277,                 1.8301,                 1.1312,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.2924,                 0.8705,                0.99178,                 1.8729,                 1.2562,                0.98947,                0.46904,                0.34455,                0.32782,                0.15968,                 1.5146,                 1.4278,                 1.1248,                 2.0769,                 1.8843,                 1.0765,                0.00901,                0.00901,                0.00901
                     23,                 1.2922,                0.85623,                 1.0006,                 1.8309,                 1.2478,                 0.9911,                0.52964,                0.37586,                0.37539,                0.18346,                 1.6133,                 1.1788,                 1.1677,                 2.0968,                 1.6337,                 1.1034,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.2706,                0.83909,                0.98588,                 1.8507,                  1.234,                0.98172,                0.45067,                0.40673,                0.37267,                0.18771,                 1.5074,                 1.2101,                  1.119,                 2.0111,                 1.6742,                 1.0595,               0.008911,               0.008911,               0.008911
                     25,                 1.2747,                0.82821,                0.98088,                 1.8147,                  1.187,                0.97367,                0.55087,                0.40921,                0.41324,                0.20778,                 1.4864,                 1.0977,                  1.085,                  2.031,                 1.5216,                 1.0614,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.2474,                0.82448,                0.98132,                 1.7953,                 1.2089,                0.98134,                0.57685,                0.40809,                0.42504,                 0.2163,                 1.4595,                  1.144,                 1.0864,                 1.9782,                 1.5637,                 1.0549,               0.008812,               0.008812,               0.008812
                     27,                 1.2742,                0.80997,                0.97373,                 1.8619,                 1.1741,                0.97435,                 0.5462,                0.43886,                0.42287,                0.20094,                 1.4633,                 1.0839,                 1.0661,                 2.0531,                 1.8728,                 1.0469,              0.0087625,              0.0087625,              0.0087625
                     28,                  1.221,                0.78692,                0.96614,                 1.7781,                 1.1401,                0.96764,                0.55429,                0.40781,                0.40668,                0.19979,                 1.4942,                 1.2123,                 1.0699,                 2.0094,                 1.7607,                 1.0392,               0.008713,               0.008713,               0.008713
                     29,                 1.2008,                0.79957,                0.96333,                 1.7734,                 1.1663,                0.96511,                0.54801,                0.45869,                0.44251,                0.21731,                 1.4338,                 1.1372,                 1.0532,                 1.9533,                 1.6199,                 1.0234,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.2357,                0.78675,                0.97282,                 1.7996,                 1.1373,                0.97128,                0.55802,                0.46636,                0.44261,                0.21335,                  1.428,                 1.1754,                 1.0362,                 1.9991,                 1.7292,                 1.0353,               0.008614,               0.008614,               0.008614
                     31,                 1.2096,                0.78928,                 0.9666,                 1.7694,                 1.1602,                0.96596,                0.61406,                0.43676,                0.45509,                0.22818,                 1.4096,                0.95086,                 1.0393,                 1.9555,                 1.4166,                 1.0301,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.1836,                0.75422,                0.95685,                 1.7456,                 1.1005,                0.96272,                0.59464,                0.44478,                  0.448,                0.22396,                 1.4296,                0.94256,                 1.0379,                 2.0034,                 1.3187,                 1.0463,               0.008515,               0.008515,               0.008515
                     33,                 1.2102,                0.76077,                0.96911,                 1.7431,                 1.1034,                 0.9681,                0.59487,                0.46827,                0.47918,                0.24299,                 1.3807,                0.91085,                 1.0288,                 1.9669,                 1.2976,                 1.0174,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.2091,                0.75819,                0.96484,                 1.7892,                 1.0995,                0.96872,                0.61768,                0.44462,                0.45889,                0.24299,                 1.3514,                  0.882,                 1.0331,                 1.9196,                 1.3103,                 1.0241,               0.008416,               0.008416,               0.008416
                     35,                 1.1776,                0.75606,                0.95328,                 1.7255,                 1.0741,                0.95552,                0.63188,                 0.4533,                0.49674,                0.25739,                 1.3963,                0.89484,                 1.0353,                 1.8732,                 1.2609,                 1.0129,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.1816,                 0.7369,                 0.9571,                  1.732,                 1.0546,                0.96178,                0.60208,                0.44603,                  0.474,                0.24356,                 1.3678,                0.94804,                 1.0263,                 1.9043,                 1.3608,                 1.0208,               0.008317,               0.008317,               0.008317
                     37,                 1.1944,                0.74195,                0.95365,                 1.7553,                 1.0617,                0.96176,                0.59671,                0.46717,                0.47019,                0.24249,                 1.3888,                0.99187,                 1.0438,                 1.9078,                 1.3329,                 1.0273,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.1813,                0.73879,                0.95084,                 1.7361,                 1.0759,                0.96083,                0.60455,                0.45678,                0.48505,                0.23965,                  1.366,                0.88801,                 1.0221,                 1.9274,                 1.3585,                 1.0335,               0.008218,               0.008218,               0.008218
                     39,                 1.1588,                0.72021,                0.95074,                 1.7129,                 1.0426,                0.95883,                0.61318,                0.45364,                0.46688,                  0.236,                 1.3911,                0.94698,                 1.0476,                 1.9307,                 1.2885,                 1.0508,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.1718,                0.72722,                0.95363,                 1.7341,                 1.0564,                 0.9623,                0.63334,                0.45993,                0.48714,                0.25799,                 1.3008,                 0.8583,                 1.0038,                 1.8164,                 1.2269,                   1.01,               0.008119,               0.008119,               0.008119
                     41,                 1.1441,                0.71242,                 0.9515,                 1.6795,                 1.0193,                0.95167,                0.64975,                 0.4784,                0.50746,                 0.2673,                 1.3434,                0.84142,                 1.0208,                 1.8667,                 1.2289,                 1.0143,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.1693,                0.72354,                0.95414,                 1.7168,                 1.0406,                0.95997,                0.62998,                0.49862,                0.50993,                0.26283,                  1.345,                0.82374,                 1.0175,                 1.8729,                 1.1767,                 1.0089,                0.00802,                0.00802,                0.00802
                     43,                 1.1324,                 0.7039,                0.94231,                 1.6596,                 1.0131,                0.94949,                0.68436,                0.46879,                0.51405,                0.26977,                 1.3275,                0.82794,                  1.019,                 1.8768,                 1.2256,                 1.0167,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.1172,                 0.6974,                 0.9446,                  1.633,                 1.0006,                0.95196,                0.64898,                0.48784,                0.50795,                0.25949,                 1.3443,                0.85879,                  1.031,                 1.9231,                 1.2339,                 1.0411,               0.007921,               0.007921,               0.007921
                     45,                 1.1211,                0.68686,                 0.9454,                 1.6478,                0.98568,                0.95605,                0.65704,                0.46728,                0.50245,                0.26436,                 1.3184,                0.82427,                 1.0104,                 1.9045,                 1.1837,                 1.0324,              0.0078715,              0.0078715,              0.0078715
                     46,                  1.124,                0.69279,                0.94597,                 1.6778,                0.97631,                0.95919,                0.71054,                0.45961,                0.52042,                0.26576,                 1.3335,                 0.8429,                 1.0159,                 1.8881,                 1.1815,                  1.024,               0.007822,               0.007822,               0.007822
                     47,                 1.1325,                0.69542,                0.94226,                 1.6886,                 1.0005,                0.95128,                0.66917,                0.48017,                0.51559,                0.26741,                 1.3461,                0.82048,                 1.0254,                 1.8695,                 1.2419,                  1.023,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.1318,                0.67744,                0.94743,                 1.6524,                0.97278,                0.95639,                0.65819,                0.50101,                0.52603,                0.27615,                 1.2919,                0.79105,                  1.005,                 1.8301,                 1.1413,                 1.0102,               0.007723,               0.007723,               0.007723
                     49,                 1.1041,                0.67341,                0.94145,                 1.6271,                0.98284,                0.94977,                0.65676,                0.46013,                0.49979,                0.26624,                 1.2914,                0.83646,                 1.0055,                 1.8661,                 1.2041,                 1.0278,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.0815,                0.67145,                0.93211,                 1.6058,                  0.963,                0.94393,                0.60434,                0.50279,                0.50891,                0.26071,                 1.3507,                0.90416,                 1.0307,                 1.8807,                 1.2231,                  1.028,               0.007624,               0.007624,               0.007624
                     51,                 1.0971,                0.67569,                0.93782,                 1.6397,                0.96669,                0.95085,                0.60289,                0.51522,                0.52675,                0.27535,                 1.2991,                0.83495,                 1.0141,                 1.8666,                 1.2614,                 1.0255,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.0982,                0.66735,                0.93534,                 1.6241,                0.96666,                0.94582,                0.65851,                   0.48,                 0.5078,                0.26838,                 1.3506,                0.89029,                 1.0345,                 1.8904,                 1.3309,                 1.0282,               0.007525,               0.007525,               0.007525
                     53,                 1.1118,                0.67062,                0.93678,                 1.6539,                0.97119,                 0.9492,                0.68073,                0.48624,                0.52682,                 0.2746,                  1.358,                0.83474,                 1.0237,                 1.9035,                 1.2596,                 1.0184,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.1106,                0.66507,                0.93195,                 1.6763,                0.97091,                0.94842,                0.66844,                0.48686,                0.52332,                0.27018,                 1.3528,                0.83939,                 1.0216,                 1.9031,                 1.2125,                 1.0235,               0.007426,               0.007426,               0.007426
                     55,                 1.0828,                0.66548,                0.93411,                 1.6246,                 0.9592,                0.94621,                0.66698,                 0.4835,                 0.5338,                0.28193,                 1.3116,                0.83028,                 1.0142,                  1.834,                 1.2252,                 1.0044,              0.0073765,              0.0073765,              0.0073765
